item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_quantity_order_unique,item_quantity_order_unique_frequency,total_demand,daily_mean,daily_std,total_order_freq,daily_freq_mean,cv2,adi,composite_metric,index_class_priority,item_class,item_initial_inventory
10002078001,金車冰淇淋汽水Pet 2000ml,34.0,23.0,30.0,23460.0,13.31,6,3910.0,PCS,[6],[11],66,9.428571428571429,6.80336051416609,11,1.5714285714285714,0.5206611570247932,3.0,14.816326530612246,5,AZ,108
10002102001,維大力零熱量汽水 330ml,40.0,27.0,12.0,12960.0,9.0,24,540.0,PCS,"[12, 18, 24, 36, 48, 60, 72, 84, 96, 120]","[217, 3, 98, 8, 50, 2, 4, 2, 15, 6]",10434,36.61052631578947,52.66910285783096,405,1.4210526315789471,2.0696642447950344,0.0736842105263157,52.02548476454293,0,AY,689
10002899001,黑松加鹽沙士330 ml,41.0,27.0,12.0,13284.0,8.588,24,553.5,PCS,"[6, 24]","[2, 1]",36,12.0,10.392304845413264,3,1.0,0.7500000000000001,7.0,12.0,5,AZ,156
10002906001,美粒果蘋果蘇打Pet 500ml,42.0,29.0,22.0,26796.0,13.2,24,1116.5,PCS,"[2, 4, 6, 8, 10, 12, 14, 16, 20, 22, 24]","[5, 67, 1, 11, 2, 3, 2, 1, 1, 1, 10]",754,8.666666666666666,9.07676136621564,104,1.1954022988505748,1.0968762900784366,0.2413793103448276,10.36015325670498,1,BY,129
10002907001,美粒果蘋果蘇打Can 330ml,40.0,27.0,12.0,12960.0,8.81,24,540.0,PCS,"[6, 12, 18, 24, 30, 36, 48, 60, 96]","[122, 27, 5, 59, 4, 1, 12, 1, 1]",3450,18.253968253968253,20.35480620799285,232,1.2275132275132274,1.2434243333467403,0.1111111111111111,22.406987486352563,0,AY,283
10002911001,樹頂蘋果氣泡飲320ml,40.0,27.0,12.0,12960.0,8.7,24,540.0,PCS,[6],[1],6,6.0,0.0,1,1.0,0.0,21.0,6.0,1,BY,24
10002915001,黑松CC氣泡飲王林蘋果風味 500ml,43.0,27.0,22.0,25542.0,13.932,24,1064.3,PCS,"[4, 8, 12, 48]","[13, 2, 1, 2]",176,11.0,22.83856387779232,18,1.125,4.310743801652893,1.3125,12.375,0,AY,280
10002916001,美粒果蘋果蘇打1250ml,27.0,27.0,30.0,21870.0,16.2,12,1822.5,PCS,"[2, 12]","[1, 12]",146,11.23076923076923,2.773500981126145,13,1.0,0.0609870519797335,1.6153846153846154,11.23076923076923,0,AY,74
10002917001,黑松蘋果蘇打富士蘋果風味2000ml,34.0,22.0,31.0,23188.0,13.2,6,3864.7,PCS,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12]","[18, 6, 4, 3, 1, 9, 1, 1, 1, 1, 5]",208,5.073170731707317,6.562736639171341,50,1.2195121951219512,1.6734432784763311,0.5121951219512195,6.186793575252826,1,BY,88
10002918001,維大力蘋果風味氣水2000ml,35.0,23.0,31.0,24955.0,13.45,6,4159.2,PCS,"[1, 6]","[2, 4]",26,4.333333333333333,2.581988897471611,6,1.0,0.3550295857988165,3.5,4.333333333333333,1,BY,44
