item_code;cluster
12011068001;4
12011069001;4
12011074001;4
12011075001;1
12011084001;4
12011088001;3
12011096001;3
12011100001;3
12011101001;3
12011102001;3
12011103001;3
12011109001;4
12011111001;3
12011117001;4
12011120001;3
12011131001;3
12011133001;3
12011134001;3
12011136001;4
12011139001;3
12011140001;3
12011142001;3
12011144001;4
12011150001;4
12011152001;3
12011153001;3
12011154001;3
12011158002;3
12011159001;4
12011168001;7
12011169001;3
12011171001;3
12011172001;4
12011173001;3
12011174001;3
12011177001;3
12011178001;3
12011179001;3
12011182001;3
12011184001;3
12011186001;3
12011189001;4
12011199001;4
12011204001;3
12011210001;3
12011213001;3
12011215001;3
12011216001;4
12011220001;3
12011221001;3
12011226001;3
12011230001;4
12011237001;4
12011240001;3
12011243001;3
12011244001;4
12011251001;4
12011252001;4
12011254001;4
12011262001;3
12011263001;4
12011264001;3
12011265001;4
12011267001;3
12011268001;4
12011275001;4
12011276001;3
12011277001;4
12011291001;3
12011293001;3
12011304001;3
12011308001;3
12011310001;3
12011329001;3
12011333001;4
12011334001;4
12011337001;3
12011338001;3
12011339001;3
12011341001;3
12011342001;3
12011345001;3
12011347001;3
12011349001;4
12011351001;3
12011354001;4
12011355001;3
12011357001;3
12011358001;3
12011360001;3
12011362001;3
12011365001;4
12011367001;4
12011373001;3
12011374001;3
12011376001;3
12011386001;3
12011400001;4
12011403001;3
12011409001;4
12011417001;3
12011433001;3
12011439001;3
12011466001;3
12011473001;2
12011477001;3
12011479001;3
12011489001;3
12011999001;3
12012003001;3
12012012001;3
12012014001;3
12012022001;3
12012045001;3
12012048001;3
12012072001;4
12012098001;3
12012118001;3
12012165001;3
12012168001;3
12012169001;3
12012170001;3
12012171001;3
12012196001;4
12012928001;3
12012969001;3
12012984001;3
12013034001;3
12014004001;3
12014022001;3
12014025001;3
12014032001;3
12014035001;3
12016005001;3
12016035001;3
12016042001;3
12016077001;3
12016078001;3
12016079001;3
12016099001;3
12016106001;3
12017009001;3
12017016001;3
12017017001;3
12017018001;3
12017039001;3
12017040001;3
12020003001;4
12020005001;3
12020020001;3
12020021001;3
12020026001;3
12020028001;4
12020032003;3
12020035001;4
12020036001;4
12020045001;3
12020046001;3
12020050001;3
12020051001;3
12020057001;3
12020068001;4
12020070001;3
12020078001;3
12020089001;3
12020090001;3
12020093001;4
12020138001;3
12020141001;4
12020148001;3
12020163001;3
12020164001;3
12020165001;4
12020166001;3
12020189001;3
12020196001;3
12020203001;3
12020217001;3
12020221001;3
12020222001;3
12020225001;2
12020232001;4
12020234001;3
12020237001;3
12020240001;3
12020242001;3
12020246001;3
12020249001;3
12020250001;3
12020253001;3
12020260001;3
12020264001;3
12020271001;3
12020272001;3
12020282001;3
12020283001;3
12020312001;3
12020323001;3
12020324001;4
12020326001;3
12020341001;3
12020342001;3
12020344001;1
12020362001;3
12020372001;3
12020383001;3
12020384001;3
12020416001;3
12020423001;3
12020425001;3
12020437001;3
12020471001;3
12020473001;1
12020485001;4
12020498001;3
12020901001;3
12020903001;3
12020920001;3
12020926001;3
12020956001;3
12020961001;3
12020964001;3
12020965001;3
12020966001;3
12021028001;3
12021042001;3
12021052001;3
12021069001;3
12021094001;3
12021912001;3
12021969001;3
12021993001;3
12021994001;3
12022005001;3
12022008001;3
12022027001;3
12022030001;3
12022043001;3
12022047001;3
12022062001;3
12022096001;4
12022100001;3
12022127001;3
12022153001;3
12022184001;3
12022224001;3
12022275001;3
12023020001;3
12023022001;3
12023079001;3
12023125001;3
12023195001;3
12023199001;3
12023202001;3
12023217001;3
12023227001;3
12023263001;3
12023278001;3
12023463001;3
12031016001;3
12032035001;3
12032072001;3
12032121001;3
12032224001;3
12032227001;3
12032540001;3
12032541001;3
12034001001;3
12034025001;3
12034038001;3
12034051001;3
12034053001;3
12034063001;3
12034071001;3
12034085001;3
12034100001;3
12034104001;3
12034154001;3
12034171001;3
12034172001;3
12034201001;3
12034211001;3
12100002001;4
12100003001;1
12100008001;3
12100009001;3
12100011001;1
12100012001;3
12100013001;1
12100017001;3
12100018001;2
12100023001;1
12100026001;5
12100027001;2
12100028001;4
12100036001;3
12100039001;7
12100040001;4
12100051001;4
12100059001;3
12100061001;3
12100069001;3
12100078001;3
12100091001;3
12100092001;3
12100101001;3
12100103001;3
12101001002;3
12101004001;2
12101005001;3
12101016001;3
12101020001;4
12101033001;3
12101040001;3
12102002001;3
12102013001;1
12102016001;4
12102020001;3
12102021001;3
12102022001;3
12102024001;3
12102026001;3
12102027001;3
12102033001;3
12102041001;3
12102042001;4
12102046001;3
12102047001;3
12102056001;3
12102058001;4
12102059001;3
12102060001;3
12102067001;3
12102075001;3
12102080001;4
12102087001;3
12102095001;7
12102100001;3
12102107001;3
12102109001;3
12102112001;4
12102132001;3
12102140001;7
12102141001;3
12102142001;2
12102996001;3
12102997001;3
12103004001;3
12103005001;3
12103008001;1
12103011001;4
12103016001;3
12103024001;4
12103025001;4
12103026001;4
12103027001;5
12103029001;4
12103030001;7
12103031001;3
12103039001;3
12103040001;4
12103041001;3
12103060001;4
12103066001;3
12103072001;3
12103080001;4
12103081001;3
12103089001;3
12103099001;3
12103101001;3
12103125001;3
12103144001;4
12103154001;3
12103179001;3
12103183001;3
12104001001;3
12104002001;3
12104003001;7
12104011001;4
12104015001;3
12104021001;4
12104027001;3
12105001001;4
12105002001;3
12105005001;3
12105006001;3
12105009001;1
12105012001;3
12105013001;3
12105018001;3
12105021001;3
12105025001;3
12105034001;2
12105036001;3
12105043002;3
12105051001;4
12105058001;3
12105059001;3
12105066001;3
12105068001;3
12105070001;3
12105071001;3
12105072001;3
12106001001;7
12106004001;3
12106005001;3
12106006001;4
12106007001;3
12106012001;3
12106014001;3
12106016002;4
12106019001;3
12106026001;3
12106027001;3
12106029001;3
12106030001;1
12106031001;3
12106034001;3
12106035001;3
12106036002;3
12106039001;4
