title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;log_price_per_piece;log_original_price_per_piece;shelf_life_normalized;log_price_per_piece_normalized;log_original_price_per_piece_normalized;estimation_discount_normalized
波蜜果菜汁 Pet 580ml;飲料零食;85;波蜜;規格：580ml毫升x1x4bottle瓶;波蜜果菜汁 Pet 580ml;89;1;580,0;12,0;96;4.49%;0;10010012001,0;ml;4;bottle;21,25;22,25;4,49438202247191;volume;月;3,1023420086122493;3,1463051320333655;0,0009871119329320005;0,2537269285974869;0,3376123076709553;0,06804243699359865
波蜜果菜汁Can240ml;飲料零食;159;波蜜;規格：240ml毫升x1x24can罐;波蜜果菜汁Can240ml;0;1;240,0;24,0;98;0.00%;1;10010018001,0;ml;24;can;6,625;0,0;0,0;volume;月;2,031432322493475;0,0;0,001988126850834874;0,14164604891967653;0,0;0,0
波蜜低卡果菜汁TP250ml;飲料零食;79;波蜜;規格：250ml毫升x1x6bottle瓶;波蜜低卡果菜汁TP250ml;85;1;250,0;12,0;99;7.06%;1;10010019001,0;ml;6;bottle;13,166666666666666;14,166666666666666;7,0588235294117645;volume;月;2,6508917872622613;2,719100037288795;0,0009871119329320005;0,20647837104355238;0,29177133172203573;0,10686665104288727
一日蔬果100葡萄蔬果汁 160ml;飲料零食;69;波蜜;規格：160ml毫升x1x6bottle瓶;一日蔬果100葡萄蔬果汁 160ml;70;1;160,0;12,0;101;1.43%;1;10010026001,0;ml;6;bottle;11,5;11,666666666666666;1,4285714285714235;volume;月;2,5257286443082556;2,538973871058276;0,0009871119329320005;0,19337885822061146;0,2724430059236711;0,021627774615822347
一日蔬果100蘋果柳橙蔬果 160ml;飲料零食;69;波蜜;規格：160ml毫升x1x6bottle瓶;一日蔬果100蘋果柳橙蔬果 160ml;70;1;160,0;12,0;102;1.43%;1;10010027001,0;ml;6;bottle;11,5;11,666666666666666;1,4285714285714235;volume;月;2,5257286443082556;2,538973871058276;0,0009871119329320005;0,19337885822061146;0,2724430059236711;0,021627774615822347
波蜜BCE果菜汁TP250ml;飲料零食;159;波蜜;規格：250ml毫升x1x24bottle瓶;波蜜BCE果菜汁TP250ml;171;1;250,0;12,0;105;7.02%;0;10010035001,0;ml;24;bottle;6,625;7,125;7,017543859649122;volume;月;2,031432322493475;2,094945728215801;0,0009871119329320005;0,14164604891967653;0,22479684330275124;0,10624169986719786
義美寶吉蔬果汁葡萄莓果125ml;飲料零食;76;義美;規格：125ml毫升x1x6bottle瓶;義美寶吉蔬果汁葡萄莓果125ml;0;1;125,0;12,166666666666666;106;0.00%;0;10010042001,0;ml;6;bottle;12,666666666666666;0,0;0,0;volume;月;2,614959778036198;0,0;0,0010010149179028737;0,2027177446762214;0,0;0,0
義美寶吉蔬果汁蘋果柳橙125ml;飲料零食;76;義美;規格：125ml毫升x1x6bottle瓶;義美寶吉蔬果汁蘋果柳橙125ml;0;1;125,0;12,166666666666666;107;0.00%;1;10010043001,0;ml;6;bottle;12,666666666666666;0,0;0,0;volume;月;2,614959778036198;0,0;0,0010010149179028737;0,2027177446762214;0,0;0,0
光泉果汁時刻蘋果汁TP-250ml;飲料零食;175;光泉;規格：250ml毫升x1x24bottle瓶;光泉果汁時刻蘋果汁TP250ml;192;1;250,0;12,0;109;8.85%;1;10011001001,0;ml;24;bottle;7,291666666666667;8,0;8,854166666666663;volume;月;2,115250994376547;2,1972245773362196;0,0009871119329320005;0,15041846978751666;0,23577181134571337;0,134047144754316
囍瑞100純天然蘋果汁200ml;飲料零食;95;囍瑞;規格：200ml毫升x1x3set組;囍瑞100純天然蘋果汁200ml;106;1;200,0;12,0;110;10.38%;1;10011002001,0;ml;3;set;31,666666666666668;35,333333333333336;10,37735849056604;volume;月;3,4863551900024623;3,592735593561034;0,0009871119329320005;0,2939175588028019;0,38551624959840575;0,15710741937908745
樹頂100%純蘋果汁200ml;飲料零食;364;樹頂 Tree Top;規格：200ml毫升x1x24bottle瓶;樹頂100純蘋果汁200ml;416;1;200,0;12,0;111;12.50%;1;10011003001,0;ml;24;bottle;15,166666666666666;17,333333333333332;12,499999999999996;volume;月;2,782951509275328;2,908720896564361;0,0009871119329320005;0,22029967643007398;0,3121184796292065;0,18924302788844616
囍瑞100純天然蘋果原汁1L;飲料零食;89;囍瑞;規格：1000ml毫升x1x1bottle瓶;囍瑞100純天然蘋果原汁1L;99;1;1000,0;12,0;113;10.10%;1;10011007001,0;ml;1;bottle;89,0;99,0;10,1010101010101;volume;月;4,499809670330265;4,605170185988092;0,0009871119329320005;0,39998520497400314;0,4941549113846197;0,1529236588997545
黑松蘋果汁-TP300ml;飲料零食;189;黑松;規格：300ml毫升x1x24bottle瓶;黑松蘋果C/TP300ml;191;1;300,0;12,0;115;1.05%;1;10011016001,0;ml;24;bottle;7,875;7,958333333333333;1,0471204188481638;volume;月;2,1832383353614797;2,192584197779717;0,0009871119329320005;0,15753399137007273;0,2352738783148101;0,015852819090131563
光泉果汁時刻100%蘋果綜合果汁200mlx6;飲料零食;85;光泉;規格：200ml毫升x1x6bottle瓶;光泉果汁時刻100蘋果綜合果汁 200ml;92;1;200,0;12,0;116;7.61%;1;10011021001,0;ml;6;bottle;14,166666666666666;15,333333333333334;7,60869565217392;volume;月;2,719100037288795;2,793208009442517;0,0009871119329320005;0,21361701285747092;0,2997234414017042;0,11519140827992388
義美寶吉純果汁蘋果TP125ml;飲料零食;76;義美;規格：125ml毫升x1x6bottle瓶;義美寶吉純果汁蘋果TP125ml;79;1;125,0;12,0;117;3.80%;1;10011023001,0;ml;6;bottle;12,666666666666666;13,166666666666666;3,79746835443038;volume;月;2,614959778036198;2,6508917872622613;0,0009871119329320005;0,2027177446762214;0,28445228804149697;0,057491552776236826
樹頂100純蘋果汁 300ml毫升;飲料零食;35;樹頂 Tree Top;規格：300ml毫升x1x1bottle瓶;樹頂100純蘋果汁 300ml;40;1;300,0;24,333333333333332;118;12.50%;1;10011028001,0;ml;1;bottle;35,0;40,0;12,5;volume;月;3,58351893845611;3,713572066704308;0,0020159328207766205;0,30408666880398877;0,39848253189994304;0,1892430278884462
