item_code;註記;(箱)長cm;(箱)寬cm;(箱)高cm;(箱)重量;箱入數;板入數;庫存量;庫存單位;庫存換算(箱);目前庫存(PCS)
10030011001;御茶園金萱烏龍PET550ml;40;27;24;14.55;24;63;3736;PCS;155.7;296
10030012001;悅氏黃金烏龍茶無糖Pet2000ml;35;24;31;17.06;8;52;1051;PCS;131.4;174
10030013001;開喜凍頂烏龍茶微糖TP 250ml;35;20;11;6.58;24;140;26892;PCS;1120.5;1950
10030014001;茶裏王白毫烏龍茶微甜Pet 600ml;41;27;24;15.56;24;54;5305;PCS;221.1;1068
10030015001;茶裏王青心烏龍無糖Pet600ml;41;27;24;15.56;24;54;2340;PCS;97.5;186
10030016001;立頓茶佐茶無糖烏龍紅 535ml;41;27;23;13.918;24;63;2570;PCS;107.1;300
10030017001;冷泡茶茶王烏龍 1235ml;35;26;31;15.83;12;55;657;PCS;54.8;0
10030018001;悅氏黑烏龍茶 2000ml;38;21;31;17.72;8;52;969;PCS;121.2;258
10030019001;濃韻烏龍茶Pet 600ml;41;28;24;15.6;24;54;2360;PCS;98.4;216
10030020001;濃韻烏龍茶 975mL;40;22;22;12.48;12;72;327;PCS;27.3;4
10030021001;開喜凍頂烏龍茶(無糖)Pet575ml;43;29;24;15.762;24;54;1235;PCS;51.5;52
10030022001;開喜凍頂烏龍茶有糖Pet575ml;40;27;23;15.66;24;54;2186;PCS;91.1;228
10030023001;原萃冷萃平安超值組 450ml*12入組;27;20;20;6.02;1;140;2989;PCS;2989;147
10030030001;冷泡茶冰釀烏龍無糖Pet1235ml;35;26;31;15.98;12;55;1308;PCS;109;207
10030045001;茶之初烏龍茶 535ml;42;28;23;14.24;24;54;856;PCS;35.7;572
10030046001;冷泡茶茶王烏龍585ml;43;28;24;15.24;24;56;4346;PCS;181.1;652
10030048001;原萃木柵鐵觀音 580ml;38;25;24;14.97;24;60;13804;PCS;575.2;4880
10030049001;原萃文山包種烏龍茶1250ml;35;26;31;15.95;12;55;919;PCS;76.6;367
10031001001;泰山冰鎮檸檬紅茶250ml;35;20;11;6.6;24;140;24320;PCS;1013.4;5904
10031003001;KIRIN午後紅茶-紅茶 Pet500ml;37;25;22;12.98;24;65;599;PCS;25;124
10031004001;御茶園特上紅茶Pet 550ml;42;28;24;14.85;24;63;4812;PCS;200.5;392
10031005001;御茶園特上紅茶250ml;35;20;11;6.58;24;135;57096;PCS;2379;5100
10031006001;生活蘇格蘭紅茶 590ml;41;27;24;14;24;54;234;PCS;9.8;0
10031007001;茶裏王英式紅茶Pet600ml;41;27;24;15.89;24;54;2782;PCS;116;256
10031009001;愛健又又健茶王-無糖Pet540ml;41;28;25;14.12;24;63;2289;PCS;95.4;4
10031011001;麥香阿薩姆紅茶1250ml;35;27;31;16.33;12;55;2805;PCS;233.8;297
10031012001;泰山冰鎮檸檬紅茶Pet535ml;43;29;24;17;24;54;1422;PCS;59.3;1420
10031013001;統一麥香紅茶TP375ml;40;20;14;9.82;24;84;30245;PCS;1260.3;2454
10031015001;生活日月潭無糖紅茶590ml;41;27;24;15.2;24;54;1867;PCS;77.8;558
10031016001;生活泡沫紅茶TP250ml;34;20;11;6.46;24;140;32236;PCS;1343.2;858
10031017001;阿薩姆紅茶300ml;35;21;13;7.82;24;112;9888;PCS;412;1608
10031019001;麥香阿薩姆紅茶Pet600ml;41;27;23;16;24;54;1137;PCS;47.4;896
10031021001;阿薩姆雙茶會烏龍紅茶330ml;35;21;15;8.52;24;105;816;PCS;34;18
10031022001;雀巢茶品錫蘭原葉紅茶530ml;41;28;24;14.3;24;63;588;PCS;24.5;4
10031023001;光泉茉莉茶園蘋果紅茶585ml;43;27;24;15;24;56;361;PCS;15.1;48
10031025001;波蜜靠茶極品紅茶580ml;43;29;25;15.43;24;54;11560;PCS;481.7;720
10031026001;泰山冰鎮紅茶1250ml;35;27;30;16.49;12;48;188;PCS;15.7;289
10031027001;台灣小玉古早味紅茶530ml;42;28;24;14.16;24;63;1992.333333;PCS;83.1;96
10031030001;茶之初紅茶535ml;42;28;23;14.25;24;54;686.6666667;PCS;28.7;28
10031031001;義美錫蘭紅茶TP250ml;35;21;12;6.66;24;135;7412;PCS;308.9;3378
10031033001;原萃錫蘭無糖紅茶580ml;37;25;24;14.95;24;60;10516;PCS;438.2;1392
10031899001;KIRIN午後紅茶-原味紅茶 1500ml;32;19;32;12.83;8;72;257;PCS;32.2;22
10031900001;紅茶花伝皇家紅茶 Pet 470ml;41;28;21;12.47;24;72;4210;PCS;175.5;384
10031901001;御茶園特上紅茶 1250ml;35;26;31;15.97;12;50;2118;PCS;176.5;473
10031902001;光泉冷泡茶英倫無糖紅茶585ml;43;30;24;15.2;24;56;2219;PCS;92.5;348
10031909001;KIRIN午後紅茶-無糖紅茶500ml;38;26;23;12.81;24;72;612;PCS;25.5;33
10031910001;波蜜靠茶初茗紅茶 250ml;35;20;11;6.6;24;140;12050;PCS;502.1;5730
10031911001;午后時光錫蘭紅茶 250ml;35;21;12;6.6;24;140;2471;PCS;103;138
10031916001;原萃冷萃蜜香福氣組 450mlx12入組;29;21;20;5.9;1;140;0;PCS;0;73
10031917001;每朝健康無糖紅茶 650ml;40;27;23;16.484;24;45;0;PCS;0;240
10032001001;麥香阿薩姆奶茶Pet1250ml;35;27;28;16.32;12;55;1944;PCS;162;685
10032003001;阿薩姆奶茶TP350ml;35;20;15;9.01;24;90;4288;PCS;178.7;1794
10032004001;KIRIN午後紅茶-奶茶 Pet 500ml;37;25;22;12.98;24;65;1040;PCS;43.4;214
10032005001;阿薩姆咖啡奶茶TP350ml;35;20;15;9.11;24;90;424;PCS;17.7;0
10032006001;立頓奶茶TP250ml;34;20;11;6.61;24;140;65181;PCS;2715.9;4512
10032007001;立頓萃香奶綠535ml;43;28;24;14.1;24;63;698.6666667;PCS;29.2;60
10032008001;立頓瑞士巧克力奶茶TP250ml;34;20;11;6.62;24;140;22644;PCS;943.5;9642
10032010001;立頓鮮漾綠奶茶TP250ml;34;20;11;6.68;24;140;23946;PCS;997.8;6486
10032011001;阿薩姆草莓奶茶TP250ml;42;25;8;6.21;24;140;5936;PCS;247.4;342
10032013001;統一麥香奶茶TP375ml;40;20;14;9.8;24;84;20740;PCS;864.2;2946
10032014001;御茶園特上奶茶550ml;40;27;24;14.6;24;63;2038;PCS;85;1488
10032015001;麥香阿薩姆奶茶Pet600ml;41;27;24;16.1;24;54;2852;PCS;118.9;309
10032016001;御茶園特上奶茶250ml;35;20;11;6.58;24;135;37278;PCS;1553.3;6990
10032019001;光泉午后時光-阿薩姆奶茶250ml;35;20;11;6.5;24;140;18207;PCS;758.7;714
10032020001;紅茶花伝皇家奶茶Pet 470ml;41;28;21;12.47;24;72;2110.666667;PCS;88;448
10032023001;紅牌蜂蜜奶茶 300ml;35;21;13;7.96;24;112;2663;PCS;111;0
10032046001;阿薩姆蘋果奶茶TP250ml;41;24;8;6.22;24;140;6828;PCS;284.5;1314
10032047001;阿薩姆原味奶茶TP250ml;42;25;8;6.13;24;140;22812;PCS;950.5;4956
10032048001;立頓英式奶茶535ml;42;28;24;15.46;24;54;1282.666667;PCS;53.5;8
10032049001;義美錫蘭奶茶 250ML;35;21;12;6.69;24;135;4190;PCS;174.6;3510
10032052001;雀巢茶品阿薩姆慢火奶茶 Pet 500ml;40;37;22;13.3;24;63;785.3333333;PCS;32.8;236
10032054001;阿薩姆茶會烏龍奶茶 330ml;35;21;15;8.52;24;105;1465;PCS;61.1;0
10032055001;光泉午后時光重乳奶茶330ml;35;20;14;8.7;24;105;4839;PCS;201.7;978
10032056001;雀巢茶品沖繩黑糖奶茶530ml;40;28;25;14.9;24;60;178.6666667;PCS;7.5;0
10032057001;生活日式草莓煉乳奶茶 590ml;41;27;24;15.7;24;54;166;PCS;7;0
10032059001;伯朗絲絨奶茶 580ml;38;25;24;15.8;24;60;749.3333333;PCS;31.3;4
10032064001;午后時光伯爵奶茶250ml;34;20;11;6.1;24;140;2081;PCS;86.8;216
10032081001;紅茶花伝太妃糖風味岩鹽奶茶470ml;41;28;21;12.01;24;72;0;PCS;0;0
10033001001;原萃冷萃日式深蒸綠茶 450ml;40;27;19;12.05;24;70;5520;PCS;230;360
10033002001;冷泡茶春釀綠茶微甜Pet1235ml;35;26;31;16.32;12;55;305;PCS;25.5;245
10033003001;光泉冷泡茶春釀綠茶微甜Pet585;42;29;24;15.95;24;56;951;PCS;39.7;12
10033004001;原萃日式綠茶580ml;37;25;24;14.94;24;60;27900;PCS;1162.5;3624
10033005001;生活泡沫花茶TP250ml;35;20;11;6.54;24;140;9642;PCS;401.8;3924
10033006001;悅氏日式綠茶無糖Pet2000ml;35;24;31;17.23;8;52;1513;PCS;189.2;3
10033010001;黑松茶花綠茶 1230ml;35;26;31;16.27;12;55;4275;PCS;356.3;425
10033011001;光泉冷泡綠茶無糖Pet585ml;42;29;24;15.23;24;56;4347;PCS;181.2;508
10033012001;悅氏油切綠茶550ml;41;28;24;13.9;24;54;16958.66667;PCS;706.7;2624
10033013001;每朝健康綠茶無糖650ml;40;27;24;17.58;24;45;21826;PCS;909.5;1696
10033014001;茶裏王台式綠茶微甜Pet600ml;41;27;24;15.58;24;54;3567;PCS;148.7;1548
10033015001;茶裏王日式綠茶無糖600ml;40;28;24;16;24;54;11991;PCS;499.7;1772
