商品名称;count
旺旺金澎派:彭派包;290
一匙靈制菌超濃縮洗衣精補充包:制菌補充包;288
青葉Q彈麵筋170G;285
光泉果汁牛乳;284
統一鮮蝦碗麵83g;283
小林煎餅超值包;282
波蜜靠茶初茗綠茶 250ml:初茗綠茶TP;281
奧利奧夾心餅乾隨手包-原味:奧利奧夾心餅乾;280
泰山仙草蜜Can330ml;280
統一肉燥風味調合米粉(包) 60g;279
台鹽高級碘鹽 1Kg:碘鹽;278
統一肉骨茶(包) 93g;278
鹿野農會產地米1.5Kg;277
義美天然取向蘇打餅乾(蔬菜)袋;275
紅鷹牌海底雞170g;274
茱蒂絲純花生醬三明治餅乾;271
OREO小瓜呆心意滿滿綜合捲心酥:綜合捲心酥;271
波的多洋芋片(蚵仔煎口味);270
正哲礦鹽蘇打餅-胡椒蕎麥風味;269
天然屋胡椒亞麻仁蘇打餅:胡椒亞麻仁蘇打;268
原萃錫蘭無糖紅茶580ml:原萃錫蘭紅茶;266
一度贊-紅燒牛肉(袋) 200g;264
樂天小熊澎湃箱-綜合口味:樂天小熊澎湃箱;264
味味A排骨雞風味乾麵(重量碗)110g:*排骨雞乾麵重;264
統一H2O純水5800ml;263
光泉冷泡烏龍茶無糖Pet585 ml:光泉冷泡烏龍茶;262
黑松加鹽沙士2L;261
多力多滋黃金起司迷你脆:多力多滋起司;261
四季釀造醬油1600ml;261
77迷你乳加372G:迷你乳加372G;260
良澔大溪名產豆丁;259
旺旺仙貝:旺旺仙貝;259
台鹽特級碘鹽 1Kg:台鹽特級碘鹽;259
一度贊-爌肉(袋) 200g;258
原萃日式焙茶 580ml:原萃日式焙茶Pet;258
春風超吸收廚房紙巾;257
義美香芋夾心酥經濟包;257
光泉正庄蜂蜜菊花茶250ml:光泉蜂蜜菊花茶;256
台酒花雕酸菜牛肉麵(包)200g;256
樹頂100純蘋果汁200ml;255
黑松沙士600 ml:黑松沙士;255
可口脆笛酥草莓量販包:可口脆笛酥草莓;254
維力炸醬麵重量包(袋) 123g:炸醬麵重量包;254
統一阿Q蒜香珍肉(碗)106g;253
龜甲萬甘醇醬油 1600ml;252
愛之味珍寶三明治鮪魚 110g;252
家樂福狗乾糧-牛肉口味;251
樂天巧克力派-6入:樂天巧克力派;251
元本山海苔輕便包48束:元本山海苔輕便;251
樂事原味家庭號;251
樂事海苔壽司家庭號:海苔壽司家庭號;250
味味一品紅燒牛肉麵(碗)181g:味味一品紅燒牛;249
卡迪那95度C北海道松露薯條:95度C松露;249
中元祈福箱:中元祈福箱;249
森永嗨啾軟糖 (家庭號)300g;248
立頓檸檬紅茶TP250ml:立頓檸檬茶TP;248
光泉高鈣牛乳:高鈣牛乳;247
原萃冷萃蜜香福氣組 450mlx12入組:冷萃蜜香福氣組;246
奇多隨口脆-海苔:奇多隨口脆-海;246
中祥鮮奶油起士酥餅;246
家樂福狗乾糧-牛肉+羊肉口味;244
黑松FIN補給飲料Can240ml;244
台東關山好米(圓二)9kg;243
綠巨人珍珠玉米粒易開罐340g;243
康寶濃湯自然原味火腿玉米49.7g;243
龍口口味粉絲 300g;243
好運平安箱:好運平安箱;242
統一蜜豆奶(雞蛋):統一蜜豆奶(雞蛋;242
維大力汽水255 ml;241
可樂果辣味量販包:可樂果辣味;241
悅氏礦泉水600ml;241
台糖大豆沙拉油2L;241
光泉果汁時刻芭芒柳汁TP250ml;241
優鮮沛綜合果汁蔓越莓TP250ml;240
茉莉茶園蘋果紅茶 250ml:蘋果紅茶TP;240
泰山八寶粥禮盒375g*12:泰山八寶粥禮盒;240
義美牛奶法蘭酥;239
黑松茶尋味新日式綠茶590ml:茶尋味新日式綠;239
卡辣姆久厚切洋芋片派對分享包:卡辣姆久厚切洋;239
義美小泡芙-檸檬風味:義美小泡芙-檸;239
華元卡辣姆久洋芋片;238
午后時光阿薩姆奶茶250ml;238
家樂福超值平版式花紋衛生紙;237
統一肉骨茶碗麵 93g;237
黑松葡萄C/TP300ml:黑松葡萄C;236
桂格即食大燕麥片2600g;236
一匙靈Attack抗菌EX洗衣精補充:Attack EX1.5kg;235
生活泡沫花茶TP250ml:生活泡沫花茶TP;235
維力大炒一番-鐵板牛肉(包)85g:大炒一番-牛肉;234
悅氏礦泉水1500ml;234
維力大炒一番-泡菜燒肉(包)85g:大炒一番-泡菜;234
萬家香香菇素蠔油1L;233
茱莉絲蘇打餅-奶油;233
美粒果蘋果蘇打Can 330ml;232
橘平屋36束海苔經濟包:36束海苔經濟包;232
光泉巧克力牛乳;232
津津蘆筍汁Can245ml;232
味王原汁牛肉麵(袋) 82g;232
維力大炒一番-九層塔蛤蜊85g:大炒九層塔蛤蜊;231
工研烏醋 600g;231
可樂果檸檬玫瑰鹽拜拜箱:可樂果拜拜箱;230
新貴派大格酥焙烤花生324g:大格酥焙烤花生;229
春風抽取衛生紙;228
味王小王子麵-岩燒海苔:小王子岩燒海苔;227
蝦味先原味量販包:蝦味先;227
光泉低脂高鈣牛乳;226
77蜜蘭諾楓糖葡萄鬆塔;226
五月花平版衛生紙300張;225
波蜜漢宮蘆筍汁TP250ml;224
家福沙琪瑪:家福沙琪瑪;223
77新貴派18片盒裝-草莓:新貴派-草莓;223
得意的一天100％葵花油2.4L;221
雀巢茶品檸檬茶TP300ml;221
滿漢大餐麻辣鍋牛肉麵(袋)200g;220
滿漢大餐珍味牛肉(袋) 173g;220
盛香珍濃厚巧克力風味法國酥:濃巧克力法國酥;219
得意的一天橄欖油 1000ml;219
味味一品原汁珍味牛肉(碗)185g:原汁珍味牛肉麵;218
紅鷹牌紅燒鰻(易開罐)100g;218
台鳳1/4鳳梨 227g:1/4鳳梨;217
品客起司口味洋芋片;217
舒潔平版式衛生紙;217
可口美酥:可口美酥;216
福樂麥芽保久乳 200ml:福樂麥芽保久乳;215
海太加鈣營養餅-起士口味:起士口味;215
得意的一天100％葵花油1L;214
台糖玉米粒(特級)340g;214
北田蒟蒻糙米捲-海苔;212
拉麵道-日式味噌(袋)101g;212
統一阿Q桶麵韓式泡菜麵 102g;211
隨緣素肉骨茶麵(袋) 90g:素肉骨茶麵(袋);211
義美巧克力法蘭酥;211
義美美味薄餅夾心-檸檬;210
光泉果汁時刻蘋果汁TP250ml:蘋果汁;210
黑松沙士2L;209
黑松蘋果C/TP300ml:黑松蘋果C;209
味味A辣排骨雞風味乾麵123g:辣排骨雞乾麵;209
伯朗藍山咖啡Can240 ml:金車藍山咖啡;207
廣達香肉醬 150g;207
義美夾心酥(黑可可):義美夾心酥黑可;206
多力多滋綜合組合包:多力多滋綜合(組;205
新貴派大格酥芝麻豆奶324g:大格酥芝麻豆奶;204
黑松茶尋味台灣青茶 590ml:茶尋味青茶590ml;203
芬達橘子汽水330ml:芬達汽水;201
家福檸檬風味夾心酥:家福檸檬夾心酥;201
愛之味 韓式泡菜190g:愛之味 韓式泡;201
卡迪那牛排量販包:卡迪那量販包;200
家樂福超值連續抽取式花紋衛生紙輕巧包;200
上好佳歡樂小點心--原味蝦條;200
77新貴派18片盒裝-藍莓:新貴派-藍莓;199
味味A冬菜鴨肉冬粉(碗) 60g:冬菜鴨肉冬粉;198
御茶園日式生茶 550ml:御茶園日式生茶;197
無聊派米豆;197
健康物語海苔亞麻仁蘇打餅280g;197
品客洋蔥口味洋芋片;197
桂格鮮榖王堅果多穀飲;196
春風抽取式廚房紙巾;196
維大力汽水2L;196
可麗舒抽取衛生紙100抽;196
天生好米嚴選月之米6kg;194
盛香珍濃厚草莓法國酥:草莓法國酥;192
米豆:米豆;191
旺旺小小酥綜合包:旺旺小小酥;191
義美錫蘭奶茶 250ML;190
UCC法式深焙濾掛式咖啡;190
可樂果素食量販包:可樂果素食量販;190
可口可樂 Zero 2L;189
家福花生夾心酥;189
孔雀香酥脆狠大包-香魚;189
隨緣鮮蔬百匯麵(袋) 80g:鮮蔬百匯麵(袋);188
卡滋珍澎派超值組合箱:卡滋澎派組合箱;187
麗滋起司餅乾隨手包243g:麗滋起司;186
77黑金剛花生迷你乳加:黑金剛迷你乳加;186
蝦味先-原味115g;186
乖乖5入好運綜合包:乖乖5入好運綜;186
龜甲萬甘醇薄鹽醬油1600ml;185
義美純麥取向蘇打餅乾410G;185
卡迪那95台灣地瓜條原味:95地瓜條;185
虎牌綠豆粉絲 450g;184
光泉冷泡綠茶無糖Pet585ml;184
新貴派大格酥陽光檸檬324g:大格酥陽光檸檬;184
維力什麼玩意兒袋裝雞汁口味;184
旺仔小饅頭經濟包;184
阿薩姆奶茶TP350ml;184
舒跑Pet1500ml;184
開心成長可爾必思160ml;183
黑松茶花綠茶-無糖Pet580ml;183
旺旺厚燒海苔170g:厚燒海苔170g;183
萬歲牌麻辣小魚花生綜合果;183
拉麵道-日式味噌(杯)80G;182
倍潔雅抽取式衛生紙;182
小老板海苔棒棒捲-原味3.0g*9;182
愛之味甜八寶380g:愛之味甜八寶38;182
超值漂白水5000克;182
遠洋牌紅燒鰻100g:遠洋牌紅燒鰻10;182
妙管家有酵洗衣精補充包-中性;181
生活泡沫紅茶TP250ml:生活泡沫紅茶;180
隨緣韓式泡菜湯麵(包)75g;179
愛之味沖繩島黑八寶340g:沖繩島黑八寶;178
旺旺仙貝經濟包;178
77新貴派好事花生綜合箱:新貴派綜合箱;177
御之味蔬菜棒棒餅;176
萬歲活力纖果綜合果;176
家福超值貓乾糧(鮪魚雞肉)7kg;176
泰山黑八寶 340g;176
卡辣姆久勁辣唐辛子洋芋片派對分享包:卡辣姆久派對包;176
台鹽海洋鹼性離子水Pet850ml;176
康寶濃湯-自然原味港式酸辣46.6G;176
維力大乾麵-紅油擔擔(包)100g;175
家樂福環保擦手紙200抽X5包;175
波蜜靠茶極品紅茶580ml;175
萬歲牌無調味綜合果-盒裝;174
黑松加鹽沙士600 ml:PET600加鹽沙士;172
上好佳歡樂小點心- 洋蔥圈;172
日本進口-味彩綜合豆果子360g;172
味味A排骨雞包麵80gX12特規:味味A排骨雞包;172
Lay s 樂事美國經典原味;171
靠得住喵掌包衛生棉24cm 12片入;169
超值潔膚濕巾:超值潔膚濕巾;168
黑松蜜桃C/TP300ml;168
義美美味營養餅乾;168
好勁道-月見雞蛋麵300g;168
維大力汽水Can330ml;167
樂事美國經典原味好康夾鏈包:樂事原味夾鏈包;167
萬家香香菇素蠔油600g:萬家香香菇素蠔;167
妙管家有酵洗衣精補充包-抗菌;166
橘平屋韓味海苔量販包;166
舒潔絲柔乳液抽取衛生紙超值包;166
午后時光伯爵奶茶250ml;166
雪碧易開罐235ml:雪碧易開罐235m;165
有田製果雪屋 (原味);165
五木雞蛋麵條經濟包 2000g;165
味味A香辣牛肉麵(袋) 83g:香辣牛肉麵;165
西螺金農上等米(圓二)3kg;164
茱蒂絲雷蒙德乳酪夾心餅;163
紅鷹牌香辣紅燒鰻100g:辣燒鰻;163
午后時光錫蘭紅茶 250ml;163
義美椰子夾心酥;162
Dr.Q葡萄蒟蒻;162
新東陽原味肉醬 160g;162
五木拉麵-海鮮321g;161
樂天黑巧克力派;161
維力大乾麵-地獄辣椒(包)100g;161
光泉果汁時刻葡萄汁TP250ml:葡萄汁;161
北海鱈魚香絲(寬條);160
潔霜芳香浴廁清潔劑--薰衣草;160
好麗友好多魚餅乾(海苔口味):好多魚餅乾(海;160
愛之味妞妞珍珠圓 260g:珍珠圓;159
卡那95北海道起司風味薯條:北海道起司風味;159
義美鮮乳薄餅量販盒;158
桂格即沖即食大燕麥片1100g;158
七喜汽水2L;158
盛香珍濃厚花生牛奶雙色巧克酥:花生牛奶巧克酥;158
茉莉茶園檸檬茶 250ml;157
77蜜蘭諾黑巧酥:77蜜蘭諾黑巧酥;157
御茶園金萱烏龍PET550ml:御茶園金萱烏龍P;156
味王香菇肉羹湯碗麵 88g:香菇肉羹湯碗麵;156
UCC無糖咖啡飲料Can184ml:產地日本兵庫縣;156
天生好米履歷鷺巡一等白米2.2kg;156
百事可樂330ml;155
天生好米履歷鷺巡芋香米2kg;155
滿漢大餐蔥燒豬肉(袋) 193g;155
得意的一天五珍寶健康油2L:五珍寶健康油;155
得意的一天五珍寶健康調和2.4L:五珍寶健康油;154
可口脆笛酥牛奶量販包:可口脆笛酥牛奶;154
金車麥根沙士can330ml;153
靠得住喵掌包衛生棉28cm 9片入;153
得意的一天芥花油2.4L;152
家福超值廚房紙抹布;152
柔情廚房紙巾;151
美粒果柳橙汁Pet1250ml;151
北田蒟蒻糙米捲-牛奶:北田糙米捲-牛奶;151
77新貴派18片盒裝-清爽檸檬  252g:新貴派檸檬;151
悅氏六茶 550ml;151
茶裏王白毫烏龍茶微甜Pet 600ml;150
御茶園日式綠茶無糖Pet1250ml:御茶園日式綠茶;150
百事可樂2L;150
金車奧利多Can240ml;150
家福黑糖沙琪瑪;149
貝納頌咖啡TP375ml:貝納頌咖啡;149
泰山玄米油1.5L;148
金車奧利多水Pet585ml:奧利多水585ml;148
黑人超氟強化琺瑯質+亮白牙膏2+1超值:黑人超氟+亮白;148
悅氏茶花綠茶無糖 2000ml;147
舒跑(中)Can335ml:舒跑(中);147
關山穀堡履歷特栽米1.5Kg;146
寶卡卡原味:寶卡卡原味;145
桂格鮮榖王野菇多穀飲;145
義美寶吉純果汁葡萄TP125ml;145
優活抽取式衛生紙:優活抽取衛生紙;145
阿薩姆紅茶300ml;144
77新貴派18片盒裝-濃郁抹茶  252g:新貴派抹茶;144
維力元祖雞汁麵70g:雞汁麵;144
黑松柳橙C/TP300ml:黑松柳橙C;144
哈瑞寶水果Q軟糖分享包:QQ糖;143
日香白胡椒餅:日香白胡椒餅;143
古道百香綠茶300ml;143
卡那全天然洋芋片地瓜片拜拜箱綜合口:拜拜箱綜合口味;143
台酒花雕雞麵(碗)200g;143
TW雲林旭成原味菜脯餅250G;142
厚燒鹽味:厚燒鹽味;142
桂格即沖即食大燕麥片1700g;142
味丹竹炭礦泉水6200ml;141
義美煎餅-芝麻;141
崇德發天然黑麥汁Btl330ml;140
潔霜芳香浴廁清潔劑綠茶馨香;140
家樂福天然水 6.3L;140
好勁道-家常麵條 300g;140
義美小蛋捲-原味;140
義美清香檸檬夾心酥(檸檬風味)400g:清香檸檬夾心酥;139
維大力白葡萄風味氣水330ml;139
維大力蘋果風味氣水330ml;139
麗滋檸檬餅乾隨手包243g:麗滋檸檬;139
悅氏礦泉水 330ml;139
3M細滑牙線棒補充包-650支:細滑牙線;139
多力多滋黃金起司;139
舒潔羽絨經濟抽取衛生紙100抽12包;139
全效光鮮柔軟洗衣精溫柔花香;139
潔霜芳香浴廁清潔劑-清新皂香;138
金農履歷一等小農種米(圓一)2kg;137
五月花妙用廚房紙巾;137
樂天小熊餅家庭號-濃黑巧克力風味;137
可口奶滋 原味量販包:可口奶滋;136
皇家榖堡莊園黑米1kg;136
義美美味草莓薄餅夾心餅;136
森永嗨啾軟糖家庭包(好多多)300g:嗨啾軟糖家庭包;135
波卡話匣子飄香雞汁;135
五月花聰明萬用紙巾;134
盛香珍蝴蝶派:盛香珍蝴蝶派;134
華元甜卡力225g:華元甜卡力;134
御茶園特撰日式綠茶550ml;134
新東陽豬肉鬆270g;133
蘇菲彈力貼身日用超薄潔翼23cm14P;133
御茶園特上紅茶Pet 550ml;133
健司巧克力脆片24入;133
卡迪那德州薯條茄汁155g;133
Dr.Q荔枝蒟蒻;133
泰山純水1500ml;132
家福超值貓乾糧(海鮮)7KG;132
光泉午后時光重乳奶茶330ml:光泉重乳奶茶TP;132
克寧100％純生乳奶粉2.3kg;132
得意連續抽取式花紋衛生紙;132
盛香珍經典奶酥;131
味味一品原汁珍味爌肉(碗)190g:原汁珍味爌肉麵;131
遠洋牌香辣燒鰻100g;131
黑松CC檸檬氣泡飲PET 500ml:黑松CC檸檬氣;130
UCC炭燒濾掛式咖啡;130
旺旺米起司厚脆片經濟包;130
維力素飄香-素排骨雞 90g:素飄香-素排骨雞;130
北田蒟蒻糙米捲(芝士口味):北田蒟蒻糙米捲;129
康寶濃湯-自然原味雞蓉玉米54.1G;129
素飄香野菜多風味碗麵95g:素飄香野菜多;129
蝦味先-香辣口味115g;129
義美狀元煎餅花生;129
LOTTE 蛋黃派-香甜草莓風味;129
家樂福花蓮富里芋香米(圓二);129
光泉正庄冬瓜茶 250ml;129
悅氏梅子綠茶微甜Pet2000ml;128
五月花蓬厚柔三層抽取衛生紙;128
虎牌新竹炊粉 400g;128
康寶全新鮮味炒手原味500g;128
上好佳歡樂小點心-原味薯條;127
黑松茶花綠茶 1230ml:茶花綠茶1230ml;127
鹿野農會長青糙米1.5Kg;126
紅鷹牌蕃茄汁鯖魚(紅罐) 220g:茄汁鯖魚(紅罐);126
卡滋番薯脆片超值組合箱:卡滋番薯組合箱;126
金農履歷一等白鷺鷥巡米(圓一)2kg;126
黑松桂花烏梅汁 900ml;126
悅氏麥仔茶Pet2000ml;125
白熊軟性洗碗精4Kg;125
潔霜芳香浴廁清潔劑--檸檬:芳香浴廁-檸檬;125
隨緣素魷魚羹麵(袋) 94g;125
味王麻油雞湯麵(包) 90g;125
卡那95炙燒和牛風味薯條:卡那薯條;124
農心洋蔥圈(原味);124
萬歲和風堅果綜合果;124
義美寶吉純果汁蘋果TP125ml:小寶吉蘋果125m;123
福樂低脂高鈣牛乳(保久乳)200m;123
阿薩姆草莓奶茶TP250ml;123
老協珍熬雞精14入;123
小王子麵-普羅旺斯羅勒香椿:小王子麵-香椿;122
可口可樂Pet 600ml;122
良澔大溪名產豆丁(辣味):大溪名產豆丁;121
樂天小熊澎湃箱-巧克力風味:樂天小熊澎湃箱;121
萬歲牌蒜香花生綜合果;121
黑松CC檸檬氣泡飲can 330ml:黑松CC檸檬氣;121
