title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
維義頭等堅果精華調合油2L;米油沖泡;159;維義;規格：2l公升x1x1bottle瓶;維義堅果精華健康調和油 2L;178;1;2000,0;24,33333333333333;8255;10.67%;1;維義堅果精華健康調和油2L;14615897001;ml;1;bottle;159,0;178,0;10,674157303370784;volume;月;0
維義頭等活力能量調合油2L;米油沖泡;169;維義;規格：2l公升x1x1bottle瓶;維義活力能量健康調和油 2L;172;1;2000,0;24,33333333333333;8256;1.74%;1;維義活力能量健康調和油2L;14615898001;ml;1;bottle;169,0;172,0;1,744186046511628;volume;月;0
萬家香特級烏醋 595ml;米油沖泡;31;萬家香;規格：595ml毫升x1x1bottle瓶;萬家香糯米醋 595g;33;1;595,0;33,3;8257;6.06%;1;萬家香糯米醋595g;14616001001;ml;1;bottle;31,0;33,0;6,0606060606060606;volume;月;0
工研白醋 600ml;米油沖泡;37;工研酢;規格：600ml毫升x1x1bottle瓶;工研白醋 600ml;43;1;600,0;33,3;8258;13.95%;1;工研白醋600ml;14616002001;ml;1;bottle;37,0;43,0;13,953488372093023;volume;月;0
正高金門高粱醋 600cc;米油沖泡;99;正高;規格：600cc西西x1x1bottle瓶;正高金門高粱醋 600cc;0;1;600,0;33,3;8260;0.00%;1;正高金門高粱醋600cc;14616009001;cc;1;bottle;99,0;0,0;0,0;volume;月;0
萬家香珍釀白醋600ml;米油沖泡;33;萬家香;規格：600ml毫升x1x1bottle瓶;萬家香珍釀白醋 600ml;0;1;600,0;33,3;8262;0.00%;0;萬家香珍釀白醋600ml;14616017001;ml;1;bottle;33,0;0,0;0,0;volume;月;0
工研業務烏醋 3000ml;米油沖泡;145;工研酢;規格：3000ml毫升x1x1bucket桶;白兔牌上烏醋;0;1;3000,0;33,3;8263;0.00%;0;白兔牌上烏醋;14616018001;ml;1;bucket;145,0;0,0;0,0;volume;月;0
家樂福白醋 3000ml;米油沖泡;109;家樂福;規格：3000ml毫升x1x1bottle瓶;家福超值白醋;0;1;3000,0;36,0;8264;0.00%;0;家福超值白醋;14616019001;ml;1;bottle;109,0;0,0;0,0;volume;月;0
經典巴薩米克銀級摩典那酒醋;米油沖泡;199;;規格：250ml毫升x1x1bottle瓶;經典巴薩米克銀級摩典那酒醋;0;1;250,0;33,3;8265;0.00%;0;經典巴薩米克銀級摩典那酒醋;14616020001;ml;1;bottle;199,0;0,0;0,0;volume;月;0
工研業務烏醋 3000ml;米油沖泡;145;工研酢;規格：3000ml毫升x1x1bucket桶;工研業務烏醋 3000ml;0;1;3000,0;33,3;8266;0.00%;0;工研業務烏醋3000ml;14616021001;ml;1;bucket;145,0;0,0;0,0;volume;月;0
工研業務白醋 3000ml;米油沖泡;145;工研酢;規格：3000ml毫升x1x1bucket桶;工研業務白醋 3000ml;0;1;3000,0;33,3;8267;0.00%;0;工研業務白醋3000ml;14616022001;ml;1;bucket;145,0;0,0;0,0;volume;月;0
工研糯米醋600ml;米油沖泡;49;工研酢;規格：600ml毫升x1x1bottle瓶;工研糯米醋 600ml;0;1;600,0;33,3;8268;0.00%;1;工研糯米醋600ml;14616023001;ml;1;bottle;49,0;0,0;0,0;volume;月;0
恆順鎮江香醋550ml;米油沖泡;80;;規格：550ml毫升x1x1bottle瓶;恆順鎮江香醋 550ml;0;1;550,0;24,0;8270;0.00%;0;恆順鎮江香醋550ml;14616033001;ml;1;bottle;80,0;0,0;0,0;volume;月;0
工研陳年醋 600ml;米油沖泡;60;工研酢;規格：600ml毫升x1x1bottle瓶;工研陳年醋 600ml;0;1;600,0;33,3;8272;0.00%;1;工研陳年醋600ml;14616038001;ml;1;bottle;60,0;0,0;0,0;volume;月;0
榖盛糯米醋 600ml;米油沖泡;48;穀盛;規格：600ml毫升x1x1bottle瓶;榖盛糯米醋 600ml;55;1;600,0;33,3;8274;12.73%;0;榖盛糯米醋600ml;14616044001;ml;1;bottle;48,0;55,0;12,727272727272728;volume;月;0
萬家香特級烏醋 595ml;米油沖泡;31;萬家香;規格：595ml毫升x1x1bottle瓶;萬家香特級烏醋 595ml;33;1;595,0;33,3;8277;6.06%;1;萬家香特級烏醋595ml;14616054001;ml;1;bottle;31,0;33,0;6,0606060606060606;volume;月;0
工研無糖蘋果醋 600ml;米油沖泡;89;工研酢;規格：600ml毫升x1x1bottle瓶;工研無糖蘋果醋 600ml;96;1;600,0;33,3;8278;7.29%;1;工研無糖蘋果醋600ml;14616060001;ml;1;bottle;89,0;96,0;7,291666666666667;volume;月;0
家樂福精選巴沙米可醋250ml;米油沖泡;139;家樂福;規格：250ml毫升x1x1box箱;家福精選巴沙米可醋;0;1;250,0;33,3;8280;0.00%;1;家福精選巴沙米可醋;14616086001;ml;1;box;139,0;0,0;0,0;volume;月;0
萬家香穀物醋600ml;米油沖泡;58;萬家香;規格：600ml毫升x1x1bottle瓶;萬家香穀物醋 600ml;75;1;600,0;36,0;8281;22.67%;1;萬家香穀物醋600ml;14616102001;ml;1;bottle;58,0;75,0;22,666666666666664;volume;月;0
工研白醋 600ml;米油沖泡;37;工研酢;規格：600ml毫升x1x1bottle瓶;有機白醋;43;1;600,0;33,3;8283;13.95%;1;有機白醋;14616194001;ml;1;bottle;37,0;43,0;13,953488372093023;volume;月;0
萬家香水果料理醋595ml;米油沖泡;59;萬家香;規格：595ml毫升x1x1bottle瓶;萬家香水果料理醋595ml;64;1;595,0;36,0;8285;7.81%;0;萬家香水果料理醋595ml;14616203001;ml;1;bottle;59,0;64,0;7,8125;volume;月;0
【安心價】味王XO醬油590ml;米油沖泡;68;味王;規格：590ml毫升x1x1bottle瓶;味王XO醬油590ml;0;1;590,0;33,3;8286;0.00%;0;味王XO醬油590ml;14620001001;ml;1;bottle;68,0;0,0;0,0;volume;月;0
工研日式柴魚香菇露500ml;米油沖泡;66;工研酢;規格：500ml毫升x1x1bottle瓶;工研日式醬油露柴魚香菇500ml;0;1;500,0;24,0;8287;0.00%;1;工研日式醬油露柴魚香菇500ml;14620004001;ml;1;bottle;66,0;0,0;0,0;volume;月;0
龜甲萬甘醇薄鹽醬油1600ml;米油沖泡;115;龜甲萬;規格：1600ml毫升x1x1bottle瓶;龜甲萬甘醇薄鹽醬油1600ml;125;1;1600,0;33,3;8288;8.00%;0;龜甲萬甘醇薄鹽醬油1600ml;14620006001;ml;1;bottle;115,0;125,0;8,0;volume;月;0
丸莊甘醇醬油450ml;米油沖泡;63;丸莊;規格：450ml毫升x1x1bottle瓶;丸莊甘醇醬油;0;1;450,0;36,0;8289;0.00%;0;丸莊甘醇醬油;14620007001;ml;1;bottle;63,0;0,0;0,0;volume;月;0
雀巢美極鮮味露-200ml;米油沖泡;72;雀巢;規格：200ml毫升x1x1bottle瓶;雀巢美極鮮味露200ml;0;1;200,0;24,0;8290;0.00%;1;雀巢美極鮮味露200ml;14620012001;ml;1;bottle;72,0;0,0;0,0;volume;月;0
家樂福古釀黑豆醬油;米油沖泡;129;家樂福;規格：420ml毫升x1x1bottle瓶;家樂福古釀醬油;136;1;420,0;24,0;8291;5.15%;1;家樂福古釀醬油;14620013001;ml;1;bottle;129,0;136,0;5,147058823529411;volume;月;0
龜甲萬甘醇醬油1600ml;米油沖泡;112;統一;規格：1600ml毫升x1x1bottle瓶;龜甲萬甘醇醬油 1600ml;116;1;1600,0;33,3;8292;3.45%;0;龜甲萬甘醇醬油1600ml;14620014001;ml;1;bottle;112,0;116,0;3,4482758620689653;volume;月;0
龜甲萬甘醇醬油 500cc;米油沖泡;52;統一;規格：500cc西西x1x1bottle瓶;龜甲萬甘醇醬油 500cc;0;1;500,0;33,3;8293;0.00%;0;龜甲萬甘醇醬油500cc;14620019001;cc;1;bottle;52,0;0,0;0,0;volume;月;0
龜甲萬甘甜醬油(釀造);米油沖泡;52;統一;規格：500ml毫升x1x1bottle瓶;統一龜甲萬甘甜醬油 500ml;0;1;500,0;33,3;8294;0.00%;0;統一龜甲萬甘甜醬油500ml;14620021001;ml;1;bottle;52,0;0,0;0,0;volume;月;0
味榮極釀級有機黑豆蔭油露320ml;米油沖泡;195;味榮;規格：320ml毫升x1x1bottle瓶;味榮極釀級有機黑豆蔭油露320ml;0;1;320,0;33,3;8295;0.00%;0;味榮極釀級有機黑豆蔭油露320ml;14620022001;ml;1;bottle;195,0;0,0;0,0;volume;月;0
黑豆桑天然頂級黑金醬油-550ml;米油沖泡;460;黑豆桑;規格：550ml毫升x1x1bottle瓶;黑豆桑天然頂級黑金醬油-550ml;0;1;550,0;24,0;8297;0.00%;1;黑豆桑天然頂級黑金醬油-550ml;14620028001;ml;1;bottle;460,0;0,0;0,0;volume;月;0
龜甲萬珍釀醬油 1.6L;米油沖泡;115;統一;規格：1.6l公升x1x1bottle瓶;龜甲萬珍釀醬油 1.6L;139;1;1600,0;33,3;8299;17.27%;0;龜甲萬珍釀醬油1.6L;14620030001;ml;1;bottle;115,0;139,0;17,26618705035971;volume;月;0
【全素】黑豆桑古早金豆醬油-550ml;米油沖泡;360;黑豆桑;規格：550ml毫升x1x1bottle瓶;黑豆桑古早金豆醬油-550ml;0;1;550,0;24,0;8303;0.00%;1;黑豆桑古早金豆醬油-550ml;14620036001;ml;1;bottle;360,0;0,0;0,0;volume;月;0
金蘭無添加原味醬油500ml;米油沖泡;123;金蘭;規格：500ml毫升x1x1bottle瓶;金蘭無添加原味醬油500ml;133;1;500,0;33,3;8304;7.52%;0;金蘭無添加原味醬油500ml;14620038001;ml;1;bottle;123,0;133,0;7,518796992481203;volume;月;0
龜甲萬甘醇醬油 500cc;米油沖泡;52;統一;規格：500cc西西x1x1bottle瓶;統一龜甲萬薄鹽醬油500ml;0;1;500,0;33,3;8305;0.00%;0;統一龜甲萬薄鹽醬油500ml;14620039001;cc;1;bottle;52,0;0,0;0,0;volume;月;0
淬釀和風醬油露干貝風味300ml;米油沖泡;75;;規格：300ml毫升x1x1bottle瓶;淬釀和風醬油露干貝風味300ml;0;1;300,0;24,0;8306;0.00%;1;淬釀和風醬油露干貝風味300ml;14620041001;ml;1;bottle;75,0;0,0;0,0;volume;月;0
金蘭醬油2L;米油沖泡;115;金蘭;規格：2000ml毫升x1x1bottle瓶;金蘭醬油2L;132;1;2000,0;33,3;8307;12.88%;1;金蘭醬油2L;14620042001;ml;1;bottle;115,0;132,0;12,87878787878788;volume;月;0
雅媽吉日式香菇風味醬油500ml;米油沖泡;116;;規格：500ml毫升x1x1can罐;雅媽吉日式香菇醬油500ml;125;1;500,0;18,0;8308;7.20%;1;雅媽吉日式香菇醬油500ml;14620046001;ml;1;can;116,0;125,0;7,199999999999999;volume;月;0
金蘭甘露醬油500ml;米油沖泡;59;金蘭;規格：500ml毫升x1x1bottle瓶;金蘭甘露醬油500ml;63;1;500,0;33,3;8310;6.35%;1;金蘭甘露醬油500ml;14620049001;ml;1;bottle;59,0;63,0;6,349206349206349;volume;月;0
屏大薄鹽醬油710ml;米油沖泡;242;屏大;規格：710ml毫升x1x1can罐;屏大薄鹽醬油;265;1;710,0;15,0;8311;8.68%;0;屏大薄鹽醬油;14620051001;ml;1;can;242,0;265,0;8,679245283018867;volume;月;0
萬家香鰹魚露450ml;米油沖泡;64;萬家香;規格：450ml毫升x1x1bottle瓶;萬家香鰹魚露450ml;0;1;450,0;33,3;8312;0.00%;0;萬家香鰹魚露450ml;14620056001;ml;1;bottle;64,0;0,0;0,0;volume;月;0
金蘭薄鹽醬油500ml;米油沖泡;58;金蘭;規格：500ml毫升x1x1bottle瓶;金蘭薄鹽醬油 500ml;0;1;500,0;33,3;8313;0.00%;0;金蘭薄鹽醬油500ml;14620057001;ml;1;bottle;58,0;0,0;0,0;volume;月;0
味王婦友純釀造醬油1600ml;米油沖泡;99;味王;規格：1600ml毫升x1x1bottle瓶;味王婦友純釀造醬油1600ml;0;1;1600,0;33,3;8315;0.00%;1;味王婦友純釀造醬油1600ml;14620060001;ml;1;bottle;99,0;0,0;0,0;volume;月;0
金蘭無添加原味醬油500ml;米油沖泡;123;金蘭;規格：500ml毫升x1x1bottle瓶;有機豆麥醬油;133;1;500,0;33,3;8316;7.52%;0;有機豆麥醬油;14620061001;ml;1;bottle;123,0;133,0;7,518796992481203;volume;月;0
萬家香大吟釀醬油1L;米油沖泡;89;萬家香;規格：1000ml毫升x1x1bottle瓶;萬家香大吟釀醬油1L;0;1;1000,0;33,3;8317;0.00%;0;萬家香大吟釀醬油1L;14620062001;ml;1;bottle;89,0;0,0;0,0;volume;月;0
豆油伯缸底醬油500ml;米油沖泡;319;豆油伯;規格：500ml毫升x1x1bottle瓶;豆油伯缸底醬油500ml;0;1;500,0;24,0;8318;0.00%;1;豆油伯缸底醬油500ml;14620063001;ml;1;bottle;319,0;0,0;0,0;volume;月;0
金蘭陳年醬油 500ml;米油沖泡;65;金蘭;規格：500ml毫升x1x1bottle瓶;金蘭陳年醬油 500ml;69;1;500,0;33,3;8319;5.80%;0;金蘭陳年醬油500ml;14620070001;ml;1;bottle;65,0;69,0;5,797101449275362;volume;月;0
瑞春原味醬油420ml;米油沖泡;165;瑞春;規格：420ml毫升x1x1bottle瓶;瑞春原味醬油420ml;0;1;420,0;24,0;8320;0.00%;1;瑞春原味醬油420ml;14620072001;ml;1;bottle;165,0;0,0;0,0;volume;月;0
【安心價】金味王純釀醬油 780ml;米油沖泡;54;味王;規格：780ml毫升x1x1bottle瓶;金味王純釀醬油 780ml;59;1;780,0;33,3;8321;8.47%;1;金味王純釀醬油780ml;14620078001;ml;1;bottle;54,0;59,0;8,47457627118644;volume;月;0
金蘭甘醇醬油1500ml;米油沖泡;99;金蘭;規格：1500ml毫升x1x1bottle瓶;金蘭甘醇醬油1500ml;109;1;1500,0;33,3;8322;9.17%;1;金蘭甘醇醬油1500ml;14620081001;ml;1;bottle;99,0;109,0;9,174311926605505;volume;月;0
味全和風醬油鰹魚露340ml;米油沖泡;64;味全;規格：340ml毫升x1x1pc瓶;味全和風醬油鰹魚露340ml;69;1;340,0;24,0;8323;7.25%;0;味全和風醬油鰹魚露340ml;14620083001;ml;1;pc;64,0;69,0;7,246376811594203;volume;月;0
丸莊陳釀醬油1000cc;米油沖泡;60;丸莊;規格：1000cc西西x1x1bottle瓶;丸莊陳釀醬油 1000cc;0;1;1000,0;33,3;8324;0.00%;0;丸莊陳釀醬油1000cc;14620084001;cc;1;bottle;60,0;0,0;0,0;volume;月;0
黑豆桑全能缸底醬油-550ml;米油沖泡;420;黑豆桑;規格：550ml毫升x1x1bottle瓶;黑豆桑全能缸底醬油-550ml;0;1;550,0;24,0;8327;0.00%;1;黑豆桑全能缸底醬油-550ml;14620092001;ml;1;bottle;420,0;0,0;0,0;volume;月;0
