item_code;product_name;first_observed_date;last_observed_date;history_days;nonzero_days;zero_demand_days;total_demand;lead_time_days;service_level;bootstrap_repetitions;resampling_method;random_seed;mean_lead_time_demand;reorder_point;safety_stock;minimum_inventory
10011001001;光泉果汁時刻蘋果汁TP250ml:蘋果汁;2021-08-01;2021-08-21;21;21;0;4866,000000;2;0,950000;10000;with_replacement;123;459,936000;810;350,064000;810
10011003001;樹頂100純蘋果汁200ml;2021-08-01;2021-08-21;21;21;0;2718,000000;2;0,950000;10000;with_replacement;124;259,189800;432;172,810200;432
10011004001;波蜜一日水果100蘋果汁250ml;2021-08-01;2021-08-21;21;10;11;156,000000;2;0,950000;10000;with_replacement;125;14,761800;42;27,238200;42
10011007001;囍瑞100純天然蘋果原汁1L:囍瑞100純天然;2021-08-02;2021-08-21;20;9;11;101,000000;2;0,950000;10000;with_replacement;126;10,125800;31;20,874200;31
10011016001;黑松蘋果C/TP300ml:黑松蘋果C;2021-08-01;2021-08-21;21;21;0;4482,000000;2;0,950000;10000;with_replacement;127;430,461000;858;427,539000;858
10011021001;光泉果汁時刻100蘋果綜合果汁 200ml;2021-08-01;2021-08-20;20;15;5;654,000000;2;0,950000;10000;with_replacement;128;65,901600;156;90,098400;156
10011023001;義美寶吉純果汁蘋果TP125ml:小寶吉蘋果125m;2021-08-01;2021-08-21;21;21;0;1584,000000;2;0,950000;10000;with_replacement;129;150,778200;240;89,221800;240
10011028001;樹頂100純蘋果汁 300ml;2021-08-03;2021-08-20;18;9;9;72,000000;2;0,950000;10000;with_replacement;130;8,041600;24;15,958400;24
10012002001;囍瑞100純天然柳橙原汁1L:囍瑞100純天然;2021-08-08;2021-08-20;13;4;9;34,000000;2;0,950000;10000;with_replacement;131;5,330300;24;18,669700;24
10012004001;美粒果柳橙汁Pet1250ml;2021-08-01;2021-08-21;21;20;1;1766,000000;2;0,950000;10000;with_replacement;132;167,993800;490;322,006200;490
10012006001;義美寶吉純果汁柳橙TP125ml:小寶吉柳橙汁;2021-08-01;2021-08-20;20;19;1;1218,000000;2;0,950000;10000;with_replacement;133;119,759400;252;132,240600;252
10012009001;樹頂100純柳橙汁1000ml;2021-08-02;2021-08-20;19;6;13;10,000000;2;0,950000;10000;with_replacement;134;1,047500;3;1,952500;3
10012899001;美粒果柳橙汁450mlPet:美粒果柳橙汁45;2021-08-01;2021-08-21;21;21;0;1872,000000;2;0,950000;10000;with_replacement;135;179,256400;432;252,743600;432
10013003001;黑松葡萄C/TP300ml:黑松葡萄C;2021-08-01;2021-08-21;21;21;0;4158,000000;2;0,950000;10000;with_replacement;136;395,742000;786;390,258000;786
10013004001;囍瑞100純天然紅葡萄原汁1L;2021-08-10;2021-08-21;12;6;6;24,000000;2;0,950000;10000;with_replacement;137;3,976600;13;9,023400;13
10013005001;光泉果汁時刻葡萄汁TP250ml:葡萄汁;2021-08-01;2021-08-21;21;21;0;4212,000000;2;0,950000;10000;with_replacement;138;399,975600;666;266,024400;666
10013007001;光泉果汁時刻100葡萄綜合果汁 200ml;2021-08-14;2021-08-20;7;5;2;210,000000;2;0,950000;10000;with_replacement;139;60,261600;168;107,738400;168
10013011001;波蜜一日水果100葡萄綜合果汁250ml:一日水果葡萄果;2021-08-18;2021-08-20;3;2;1;12,000000;2;0,950000;10000;with_replacement;140;7,993800;12;4,006200;12
10013012001;義美寶吉純果汁葡萄TP125ml;2021-08-01;2021-08-21;21;21;0;1776,000000;2;0,950000;10000;with_replacement;141;169,953000;288;118,047000;288
10014005001;鮮剖100椰子汁含椰肉520ml:鮮剖椰子汁;2021-08-20;2021-08-21;2;2;0;21,000000;2;0,950000;10000;with_replacement;142;20,925000;36;15,075000;36
10014006001;樹頂100蜜桃綜合果汁 1L:蜜桃綜合果汁 1L;2021-08-19;2021-08-21;3;3;0;13,000000;2;0,950000;10000;with_replacement;143;8,686000;16;7,314000;16
10014009001;崇德發天然黑麥汁Btl330ml;2021-08-01;2021-08-21;21;21;0;2196,000000;2;0,950000;10000;with_replacement;144;208,209600;366;157,790400;366
10014018001;太陽牌加州梅汁Pet 946ml:太陽牌加洲梅汁;2021-08-16;2021-08-21;6;4;2;14,000000;2;0,950000;10000;with_replacement;145;4,667300;10;5,332700;10
10014020001;崇德發天然黑麥汁Can330ml;2021-08-01;2021-08-21;21;20;1;1434,000000;2;0,950000;10000;with_replacement;146;135,915600;276;140,084400;276
10014023001;優鮮沛綜合果汁蔓越莓TP250ml;2021-08-01;2021-08-21;21;21;0;4980,000000;2;0,950000;10000;with_replacement;147;472,947600;918;445,052400;918
10014024001;酷椰嶼椰子汁250ml;2021-08-01;2021-08-20;20;10;10;216,000000;2;0,950000;10000;with_replacement;148;21,592200;66;44,407800;66
10014027001;台酒烏梅黑麥汁 Can 330ml;2021-08-01;2021-08-01;1;1;0;24,000000;2;0,950000;10000;with_replacement;149;48,000000;48;0,000000;48
10014028001;光泉果汁時刻芭芒柳汁TP250ml;2021-08-01;2021-08-21;21;21;0;5892,000000;2;0,950000;10000;with_replacement;150;561,242400;900;338,757600;900
10014029001;椰活100純椰子水 500ml;2021-08-01;2021-08-20;20;14;6;348,000000;2;0,950000;10000;with_replacement;151;34,754700;108;73,245300;108
10014030001;優鮮沛蔓越莓綜合果汁Pet500ml:優鮮沛蔓越莓綜;2021-08-01;2021-08-20;20;10;10;212,000000;2;0,950000;10000;with_replacement;152;20,928000;60;39,072000;60
10014032001;黑松百香果C/TP300ml:黑松百香果C;2021-08-01;2021-08-21;21;21;0;1920,000000;2;0,950000;10000;with_replacement;153;183,477600;444;260,522400;444
10014033001;黑松蜜桃C/TP300ml;2021-08-01;2021-08-21;21;21;0;3456,000000;2;0,950000;10000;with_replacement;154;327,662400;684;356,337600;684
10014037001;好聖地100椰子水 350ml;2021-08-01;2021-08-19;19;12;7;75,000000;2;0,950000;10000;with_replacement;155;7,902900;18;10,097100;18
10014043001;囍瑞100覆盆莓綜合原汁1L:囍瑞100純天然;2021-08-04;2021-08-04;1;1;0;12,000000;2;0,950000;10000;with_replacement;156;24,000000;24;0,000000;24
10014051001;崇德發易開罐黑麥汁250ml:崇德發易開罐黑;2021-08-01;2021-08-20;20;20;0;2064,000000;2;0,950000;10000;with_replacement;157;204,072000;360;155,928000;360
10014055001;鮮剖100純椰子汁 500ml;2021-08-05;2021-08-05;1;1;0;24,000000;2;0,950000;10000;with_replacement;158;48,000000;48;0,000000;48
10014062001;囍瑞純天然蔓越莓汁200ml:純天然蔓越莓汁;2021-08-01;2021-08-05;5;3;2;24,000000;2;0,950000;10000;with_replacement;159;9,546000;18;8,454000;18
10014067001;愛之味莎莎亞椰奶TP250ml:莎莎亞椰奶;2021-08-01;2021-08-20;20;8;12;156,000000;2;0,950000;10000;with_replacement;160;15,343800;54;38,656200;54
10014069001;波蜜芭樂汁300ml;2021-08-03;2021-08-03;1;1;0;6,000000;2;0,950000;10000;with_replacement;161;12,000000;12;0,000000;12
10014073001;台酒紅麴黑麥汁Can330 ml;2021-08-01;2021-08-19;19;4;15;114,000000;2;0,950000;10000;with_replacement;162;12,388800;54;41,611200;54
10014075001;卡麥隆石榴黑麥汁330ml:卡麥隆石榴黑麥;2021-08-21;2021-08-21;1;1;0;6,000000;2;0,950000;10000;with_replacement;163;12,000000;12;0,000000;12
10014080001;樹頂100蔓越莓綜合果汁200ml;2021-08-01;2021-08-21;21;16;5;222,000000;2;0,950000;10000;with_replacement;164;21,045600;42;20,954400;42
10014081001;樹頂100石榴莓綜合果汁200ml;2021-08-19;2021-08-21;3;2;1;18,000000;2;0,950000;10000;with_replacement;165;11,870400;24;12,129600;24
10014090001;波蜜多果汁TP250ml;2021-08-01;2021-08-21;21;21;0;9186,000000;2;0,950000;10000;with_replacement;166;873,822000;1302;428,178000;1302
10014092001;美粒果白葡萄加蘆薈Pet1250ml;2021-08-01;2021-08-21;21;21;0;287,000000;2;0,950000;10000;with_replacement;167;27,004900;62;34,995100;62
10014097001;老北京酸梅湯Pet900ml;2021-08-01;2021-08-19;19;6;13;36,000000;2;0,950000;10000;with_replacement;168;3,806100;24;20,193900;24
10014103001;樹頂100石榴莓綜合果汁1L:石榴莓果汁1L;2021-08-19;2021-08-20;2;2;0;5,000000;2;0,950000;10000;with_replacement;169;4,998300;6;1,001700;6
10014106001;噶瑪蘭麥汁Btl330ml;2021-08-05;2021-08-21;17;7;10;144,000000;2;0,950000;10000;with_replacement;170;16,598400;48;31,401600;48
10014110001;鮮剖100純天然椰子汁520ml;2021-08-14;2021-08-15;2;2;0;15,000000;2;0,950000;10000;with_replacement;171;14,968500;24;9,031500;24
10014111001;崇德發白麥檸檬汁Can 330ml:崇德發白麥檸檬;2021-08-08;2021-08-20;13;10;3;258,000000;2;0,950000;10000;with_replacement;172;39,513600;84;44,486400;84
10014113001;崇德發減糖黑麥汁Can 330ml:崇德發減糖黑麥;2021-08-01;2021-08-21;21;20;1;1506,000000;2;0,950000;10000;with_replacement;173;142,669800;240;97,330200;240
