item_code,(箱)長cm,(箱)寬cm,(箱)高cm,max_comp_number
12000276001,36.0,22.0,27.0,10
12000282001,23.0,17.0,24.0,21
12000285001,25.0,18.0,27.0,17
12000288001,32.0,24.0,26.0,9
12000292001,22.0,17.0,21.0,29
12000295001,22.0,17.0,24.0,21
12000298001,44.0,23.0,25.0,5
12000300001,32.0,21.0,23.0,12
12000301001,35.0,27.0,25.0,9
12000304001,27.0,16.0,20.0,25
12000306001,32.0,21.0,23.0,12
12000309001,22.0,17.0,24.0,21
12000313001,25.0,20.0,21.0,20
12000314001,25.0,18.0,25.0,17
12000315001,32.0,21.0,23.0,12
12000317001,44.0,23.0,26.0,5
12000318001,22.0,22.0,24.0,16
12000319001,27.0,23.0,27.0,13
12000320001,27.0,23.0,27.0,13
12000321001,15.0,5.0,20.0,144
12000322001,34.0,18.0,21.0,15
12000323001,34.0,18.0,21.0,15
12000325001,25.0,16.0,17.0,30
12000327001,34.0,18.0,21.0,15
12000329001,32.0,21.0,23.0,12
12000333001,38.0,22.0,25.0,10
12000338001,25.0,20.0,21.0,20
12000339001,25.0,20.0,21.0,20
12000340001,44.0,23.0,25.0,5
12000341001,29.0,20.0,25.0,15
12000343001,23.0,31.0,27.0,9
12000349001,43.0,13.0,26.0,10
12000350001,43.0,23.0,24.0,7
12000351001,43.0,23.0,24.0,7
12000352001,29.0,20.0,25.0,15
12000356001,24.0,16.0,17.0,30
12000359001,39.0,22.0,25.0,10
12000361001,22.0,22.0,24.0,16
12000364001,28.0,20.0,25.0,15
12000365001,16.0,14.0,20.0,48
12000366001,34.0,21.0,23.0,12
12000369001,26.0,24.0,27.0,13
12000372001,34.0,21.0,23.0,12
12000373001,26.0,24.0,27.0,13
12000374001,31.0,18.0,22.0,15
12000375001,31.0,18.0,22.0,15
12000377001,31.0,19.0,22.0,14
12000379001,30.0,22.0,26.0,10
12000381001,33.0,19.0,22.0,14
12000395001,28.0,22.0,25.0,14
12000396001,26.0,24.4,25.9,12
12000397001,26.0,24.4,25.9,12
12000398001,41.0,29.0,26.0,5
12000399001,24.0,17.0,26.0,21
12000400001,24.0,17.0,25.0,21
12000401001,25.0,16.0,17.0,30
12000405001,22.0,22.0,24.0,16
12000408001,39.0,22.0,25.0,10
12000409001,22.0,28.0,25.0,14
12000411001,23.0,16.0,20.0,33
12000416001,28.0,20.0,25.0,15
12000421001,24.0,17.0,27.0,21
12000424001,20.0,15.0,20.0,36
12000425001,34.0,19.0,22.0,14
12000430001,23.0,20.0,26.0,18
12000431001,18.0,13.0,22.0,45
12000432001,25.0,9.0,20.0,45
12000433001,23.0,20.0,26.0,18
12000436001,33.0,26.0,24.0,9
12000437001,33.0,26.0,24.0,9
12000438001,29.0,23.0,24.0,15
12000445001,35.0,29.0,26.0,6
12000446001,35.0,29.0,26.0,6
12000451001,36.0,23.0,23.0,11
12000468001,35.0,19.0,28.0,11
12000469001,31.0,19.0,22.0,14
12000476001,28.0,15.0,20.0,27
12000480001,29.0,17.0,25.0,18
12000485001,31.0,24.0,21.0,12
12000494001,25.0,17.0,25.0,18
12000495001,25.0,17.0,25.0,18
12000496001,25.0,17.0,25.0,18
12000497001,25.0,17.0,25.0,18
12000498001,25.0,17.0,25.0,18
12000502001,28.0,23.0,26.0,13
12000504001,28.0,23.0,26.0,13
12000505001,28.0,23.0,26.0,13
12000507001,28.0,23.0,26.0,13
12000999001,22.0,22.0,24.0,16
12001001001,36.0,28.0,23.0,9
12001004001,22.0,19.0,23.0,23
12001006001,29.0,20.0,22.0,18
12001007001,38.0,22.0,24.0,12
12001008001,33.0,25.0,24.0,9
12001010001,23.0,9.0,23.0,50
12001011001,29.0,23.0,22.0,16
12001013001,55.0,24.0,23.0,7
12001015001,31.0,22.0,26.0,10
12001017001,17.0,12.0,20.0,52
12001018001,17.0,12.0,20.0,52
12001019001,33.0,19.0,22.0,14
12001020001,23.0,17.0,24.0,21
12001022001,39.0,23.0,24.0,11
12001023001,22.0,19.0,23.0,23
12001025001,56.0,24.0,22.0,8
12001026001,38.0,22.0,25.0,10
12001027001,19.0,15.0,23.0,36
12001028001,36.0,18.0,24.0,15
12001029001,26.0,22.0,23.0,16
12001031001,30.0,26.0,18.0,12
12001037001,37.0,22.0,25.0,10
12001038001,41.0,21.0,24.0,8
12001039001,27.0,21.0,24.0,17
12001041001,42.0,21.0,24.0,8
12001042001,35.0,20.0,28.0,11
12001043001,26.0,25.0,23.0,13
12001047001,26.0,22.0,24.0,16
12001048001,19.0,10.0,19.0,67
12001049001,26.0,22.0,24.0,16
12001050001,32.0,31.0,29.0,6
12001051001,39.0,26.0,23.0,9
12001053001,19.0,10.0,19.0,67
12001054001,29.0,7.0,20.0,57
12001055001,29.0,7.0,19.0,64
12001056001,37.0,28.0,26.0,8
12001057001,22.0,19.0,23.0,23
12001058001,22.0,18.0,23.0,25
12001059001,22.0,19.0,23.0,23
12001060001,22.0,18.0,23.0,25
12001061001,22.0,15.0,24.0,24
12001062001,29.0,17.0,26.0,18
12001063001,22.0,19.0,23.0,23
12001064001,19.0,10.0,19.0,67
12001065001,29.0,17.0,26.0,18
12001067001,29.0,7.0,16.0,77
12001068001,26.0,22.0,24.0,16
12001070001,29.0,7.0,19.0,64
12001071001,29.0,17.0,26.0,18
12001076001,29.0,17.0,25.0,18
12001077001,29.0,17.0,26.0,18
12001078001,29.0,11.0,26.0,28
12001079001,22.0,15.0,24.0,24
12001080001,35.0,17.0,30.0,10
12001081001,29.0,17.0,26.0,18
12001083001,29.0,23.0,22.0,16
12001084001,34.0,17.0,30.0,10
12001085001,25.0,19.0,26.0,16
12001086001,25.0,19.0,26.0,16
12001087001,35.0,17.0,30.0,10
12001088001,20.0,19.0,26.0,21
12001090001,20.0,19.0,26.0,21
12001091001,19.0,16.0,24.0,28
12001092001,19.0,15.0,24.0,30
12001093001,22.0,19.0,23.0,23
12001094001,22.0,19.0,24.0,18
12001108001,22.0,20.0,24.0,18
12001109001,20.0,22.0,24.0,18
12001110001,31.0,22.0,27.0,10
12001111001,26.0,18.0,27.0,17
12001112001,25.0,17.0,26.0,18
12001113001,36.0,23.0,23.0,11
12001114001,26.0,25.0,23.0,13
12001119001,29.0,23.0,22.0,16
12001999001,38.0,20.0,25.0,11
12002002001,31.0,23.0,28.0,9
12002003001,23.0,39.0,24.0,11
12002005001,25.0,18.0,25.0,17
12002006001,39.0,22.0,25.0,10
12002008001,32.0,19.0,22.0,14
12002009001,21.0,19.0,28.0,21
12002010001,39.0,22.0,24.0,12
12002013001,25.0,17.0,25.0,18
12002014001,27.0,17.0,17.0,29
12002016001,31.0,24.0,22.0,12
12002018001,29.0,17.0,25.0,18
12002019001,27.0,18.0,21.0,22
12002020001,25.0,19.0,26.0,16
12002021001,25.0,21.0,22.0,17
12002023001,41.0,21.0,24.0,8
12002024001,42.0,23.0,26.0,5
12002026001,31.0,23.0,22.0,12
12002030001,32.0,19.0,22.0,14
12002035001,29.0,17.0,25.0,18
12002036001,31.0,24.0,21.0,12
12002037001,26.0,22.0,23.0,16
12002040001,26.0,18.0,26.0,17
12002041001,30.0,23.0,24.0,11
12002042001,21.0,19.0,28.0,21
12002044001,27.0,18.0,21.0,22
12002045001,36.0,29.0,26.0,6
12002050001,41.0,21.0,25.0,6
12002051001,25.0,20.0,21.0,20
12002052001,41.0,21.0,25.0,6
12002054001,25.0,20.0,21.0,20
12002056001,29.0,20.0,25.0,15
12002057001,17.0,12.0,20.0,52
12002062001,40.0,24.0,22.0,8
12002064001,29.0,22.0,28.0,12
12002066001,27.0,21.0,24.0,17
12002068001,25.0,19.0,26.0,16
12002071001,20.0,19.0,26.0,21
12002074001,23.0,17.0,24.0,21
12002075001,22.0,22.0,24.0,16
12002078001,30.0,23.0,27.0,9
12002084001,25.0,17.0,25.0,18
12002089001,23.0,16.0,20.0,33
12002090001,23.0,16.0,20.0,33
12002093001,29.0,20.0,26.0,15
12002096001,22.0,23.0,24.0,16
12002100001,25.0,17.0,25.0,18
12002103001,30.0,23.0,24.0,11
12002104001,25.0,17.0,26.0,18
12002105001,25.0,17.0,26.0,18
12002106001,25.0,17.0,26.0,18
12002107001,25.0,17.0,26.0,18
12002109001,33.0,26.0,24.0,9
12002112001,36.0,23.0,23.0,11
12002114001,25.0,17.0,25.0,18
12002118001,47.0,28.0,25.0,5
12002119001,38.0,22.0,25.0,10
12002124001,29.0,17.0,25.0,18
12002125001,29.0,17.0,25.0,18
12002126001,29.0,17.0,25.0,18
12002127001,27.0,16.0,17.0,30
12002134001,22.0,19.0,23.0,23
12002155001,31.0,23.0,28.0,9
12002158001,27.0,23.0,27.0,13
12002159001,27.0,23.0,27.0,13
12002160001,32.0,25.0,24.0,9
12002948001,27.0,20.0,22.0,18
12002949001,27.0,20.0,22.0,18
12002996001,29.0,23.0,24.0,15
12002997001,29.0,23.0,24.0,15
12002998001,28.0,24.0,27.0,13
12002999001,21.0,19.0,28.0,21
12003003001,40.0,26.0,20.0,6
12003004001,25.0,23.0,23.0,15
12003005001,39.0,22.0,23.0,12
12003006001,20.0,13.0,22.0,41
12003008001,33.0,32.0,10.0,18
12003012001,33.0,32.0,10.0,18
12003013001,34.0,22.0,23.0,12
12003014001,16.0,11.0,21.0,61
12003015001,20.0,19.0,27.0,21
12003016001,19.0,15.0,23.0,36
12003017001,20.0,19.0,27.0,21
12003021001,23.0,16.0,10.0,67
12003023001,19.0,16.0,19.0,42
12003025001,25.0,26.0,33.0,9
12003028001,24.0,18.0,24.0,20
12003030001,21.0,18.0,10.0,58
12003031001,31.0,19.0,22.0,14
12003032001,34.0,20.0,20.0,15
12003034001,37.0,31.0,22.0,8
12003035001,39.0,30.0,9.0,20
12003038001,20.0,8.0,21.0,67
12003039001,39.0,30.0,9.0,20
12003040001,23.0,16.0,18.0,36
12003042001,22.0,22.0,24.0,16
12003043001,21.0,8.0,21.0,61
12003044001,25.0,20.0,24.0,18
12003045001,55.0,30.0,20.0,6
12003046001,25.0,20.0,24.0,18
12003048001,27.0,9.0,10.0,95
12003051001,22.0,22.0,24.0,16
12003054001,22.0,22.0,24.0,16
12003055001,36.0,21.0,24.0,12
12003056001,36.0,21.0,24.0,12
12003058001,19.0,12.0,17.0,60
12003059001,23.0,17.0,23.0,26
12003062001,22.0,16.0,23.0,28
12003063001,39.0,22.0,23.0,12
12003064001,23.0,17.0,23.0,26
12003065001,31.0,19.0,23.0,14
12003068001,21.0,18.0,18.0,32
12003069001,28.0,23.0,23.0,15
12003071001,21.0,18.0,18.0,32
12003072001,22.0,22.0,24.0,16
12003073001,20.0,20.0,19.0,28
12003074001,21.0,18.0,18.0,32
12003075001,28.0,22.0,24.0,16
12003076001,31.0,17.0,21.0,15
12003077001,22.0,22.0,24.0,16
12003080001,27.0,17.0,24.0,21
12003082001,36.0,21.0,24.0,12
12003083001,22.0,16.0,23.0,28
12003084001,31.0,18.0,23.0,15
12003085001,22.0,16.0,22.0,28
12003086001,17.0,6.0,14.0,150
12003089001,27.0,21.0,28.0,15
12003090001,17.0,16.0,20.0,39
12003093001,27.0,17.0,24.0,21
12003094001,27.0,21.0,28.0,15
12003096001,32.0,26.0,24.0,9
12003097001,32.0,26.0,24.0,9
12003098001,22.0,22.0,24.0,16
12003099001,24.0,17.0,27.0,21
12003100001,22.0,17.0,23.0,26
12003103001,36.0,21.0,24.0,12
12003104001,34.0,21.0,23.0,12
12003105001,17.0,4.0,20.0,157
12003106001,28.0,23.0,23.0,15
12003108001,24.0,17.0,20.0,23
12003111001,20.0,10.0,17.0,63
12003113001,34.0,21.0,23.0,12
12003115001,27.0,21.0,28.0,15
12003117001,23.0,20.0,26.0,18
12003120001,21.0,18.0,10.0,58
12003123001,26.0,20.0,27.0,15
12003125001,20.0,18.0,21.0,30
12003126001,20.0,18.0,21.0,30
12003128001,20.0,18.0,21.0,30
12003130001,37.0,29.0,25.0,7
12003132001,32.0,21.0,23.0,12
12003134001,31.0,19.0,23.0,14
12003135001,31.0,19.0,23.0,14
12003137001,32.0,21.0,23.0,12
12003138001,28.0,22.0,24.0,16
12003139001,17.0,12.0,22.0,52
12003140001,19.0,15.0,23.0,36
12003142001,28.0,22.0,24.0,16
12003143001,21.0,18.0,18.0,32
12003144001,19.0,15.0,17.0,48
12003145001,21.0,18.0,10.0,58
12003147001,21.0,18.0,10.0,58
12003148001,29.0,20.0,11.0,36
12003161001,43.0,32.0,20.0,6
12003167001,25.0,9.0,10.0,95
12003168001,38.0,19.0,26.0,11
12003169001,26.0,20.0,27.0,15
12003911001,26.0,21.0,22.0,17
12004011001,18.0,6.0,19.0,120
12004015001,17.0,11.0,19.0,65
12004016001,26.0,19.0,17.0,26
12004018001,35.0,35.0,22.0,8
12004020001,26.0,19.0,17.0,26
12004021001,14.0,5.0,19.0,180
12004032001,15.0,5.0,20.0,144
12004036001,20.0,15.0,21.0,36
12004040001,25.0,9.0,9.0,105
12004041001,25.0,9.0,9.0,105
12004046001,19.0,14.0,20.0,38
12004048001,16.0,6.0,18.0,135
12004050001,39.0,13.0,20.0,24
12004053001,20.0,18.0,6.0,97
12004056001,20.0,18.0,7.0,83
12004058001,20.0,18.0,6.0,97
12004062001,24.0,4.0,13.0,157
12004063001,25.0,9.0,9.0,105
12004094001,28.0,13.0,17.0,38
12004095001,28.0,13.0,17.0,38
12004152001,16.0,6.0,7.0,360
12004156001,15.0,8.0,11.0,168
12004157001,15.0,8.0,11.0,168
12004160001,43.0,30.0,17.0,7
12004165001,20.0,14.0,4.0,191
12004168001,14.0,3.0,16.0,360
12004170001,19.0,14.0,4.0,225
12004171001,15.0,4.0,19.0,213
12004185001,14.0,8.0,15.0,135
12004188001,20.0,16.0,25.0,25
12004193001,25.0,19.0,28.0,16
12004195001,14.0,8.0,15.0,135
12004196001,19.0,15.0,4.0,213
12004197001,19.0,15.0,4.0,213
12004206001,19.0,14.0,21.0,38
12004209001,22.0,16.0,16.0,42
12004211001,22.0,16.0,16.0,42
12004214001,28.0,18.0,21.0,22
12004218001,23.0,18.0,28.0,20
12004219001,19.0,14.0,21.0,38
12004220001,23.0,18.0,28.0,20
12004221001,23.0,18.0,23.0,25
12005002002,32.0,21.0,20.0,13
12005002003,32.0,21.0,20.0,13
12005002004,32.0,21.0,20.0,13
12005002005,32.0,21.0,20.0,13
12005002006,32.0,21.0,19.0,14
12005002007,32.0,21.0,19.0,14
12005002008,32.0,21.0,19.0,14
12005002009,32.0,21.0,19.0,14
12005003001,25.0,20.0,22.0,18
12005003002,25.0,20.0,22.0,18
12005003003,25.0,20.0,22.0,18
12005003004,25.0,20.0,22.0,18
12005003005,25.0,20.0,22.0,18
12005007001,35.0,12.0,24.0,22
12005009001,32.0,20.0,19.0,16
12005009003,32.0,20.0,19.0,16
12005009006,32.0,20.0,19.0,16
12005009007,32.0,20.0,19.0,16
12005009008,32.0,20.0,19.0,16
12005009010,32.0,20.0,19.0,16
12005009012,32.0,20.0,19.0,16
12005015001,30.0,23.0,18.0,15
12005015002,30.0,23.0,18.0,15
12005015003,30.0,23.0,18.0,15
12005015004,30.0,23.0,18.0,15
12005015005,30.0,23.0,18.0,15
12005015006,30.0,23.0,18.0,15
12005015007,31.0,24.0,22.0,12
12005015008,31.0,24.0,22.0,12
12005015009,31.0,24.0,22.0,12
12005015010,31.0,24.0,22.0,12
12005019001,32.0,20.0,19.0,16
12005019002,32.0,19.0,19.0,16
12005019003,32.0,19.0,19.0,16
12005019004,32.0,20.0,19.0,16
12005019005,32.0,19.0,19.0,16
12005019006,32.0,19.0,19.0,16
12005019007,32.0,21.0,18.0,15
12005019008,32.0,21.0,19.0,14
12005019010,31.0,19.0,18.0,17
12005056001,22.0,15.0,18.0,39
12005056002,22.0,15.0,18.0,39
12005056003,22.0,15.0,18.0,39
12005056004,22.0,15.0,18.0,39
12005072001,32.0,20.0,20.0,15
12005072002,32.0,20.0,20.0,15
12005072003,32.0,20.0,20.0,15
12005072004,32.0,20.0,20.0,15
12005072005,32.0,20.0,20.0,15
12005072007,32.0,20.0,19.0,16
12005072009,32.0,20.0,19.0,16
12005072010,32.0,20.0,19.0,16
12005072011,32.0,20.0,19.0,16
12005072013,32.0,20.0,19.0,16
12005072014,32.0,20.0,19.0,16
12005074001,28.0,19.0,21.0,21
12005075001,33.0,18.0,15.0,24
12005078001,22.0,19.0,21.0,26
12005079001,20.0,14.0,21.0,38
12005082001,20.0,8.0,19.0,67
12005082002,20.0,8.0,19.0,67
12005082003,20.0,8.0,19.0,67
12005082004,20.0,8.0,19.0,67
12005082005,20.0,8.0,19.0,67
12005082006,20.0,8.0,19.0,67
12005082007,20.0,8.0,19.0,67
12005082008,20.0,8.0,19.0,67
12005082009,20.0,8.0,19.0,67
12005082010,20.0,8.0,19.0,67
12005082011,20.0,8.0,19.0,67
12005082012,20.0,8.0,19.0,67
12005082013,20.0,8.0,19.0,67
12005082015,20.0,8.0,19.0,67
12005082016,20.0,8.0,19.0,67
12005083001,20.0,8.0,19.0,67
12005083002,20.0,8.0,19.0,67
12005084001,15.0,9.0,16.0,110
12005084002,15.0,9.0,16.0,110
12005084004,15.0,9.0,16.0,110
12005084005,15.0,9.0,16.0,110
12005084006,15.0,9.0,16.0,110
12005084007,15.0,9.0,16.0,110
12005084008,15.0,9.0,16.0,110
12005084009,15.0,9.0,16.0,110
12005084010,15.0,9.0,16.0,110
12005087001,44.0,18.0,21.0,10
12005087003,44.0,18.0,21.0,10
12005089001,42.0,34.0,20.0,4
12005089002,42.0,34.0,20.0,4
12005089003,42.0,34.0,20.0,4
12005089004,42.0,34.0,20.0,4
12005092001,34.0,21.0,26.0,10
12005092002,34.0,21.0,26.0,10
12005092003,34.0,21.0,26.0,10
12005092004,34.0,21.0,26.0,10
12005092005,34.0,21.0,26.0,10
12005092007,34.0,21.0,26.0,10
12005092008,34.0,21.0,26.0,10
12005092009,34.0,21.0,26.0,10
12005093001,31.0,26.0,20.0,11
12005093002,31.0,26.0,20.0,11
12005093003,31.0,26.0,20.0,11
12005093004,31.0,26.0,20.0,11
12005093005,31.0,26.0,20.0,11
12005093007,31.0,26.0,20.0,11
12005093008,31.0,26.0,20.0,11
12005093009,31.0,26.0,20.0,11
12005093010,31.0,26.0,20.0,11
12005100002,8.0,6.0,18.0,270
12005101001,17.0,6.0,16.0,135
12005101002,17.0,6.0,16.0,135
12005103001,17.0,6.0,16.0,135
12005106002,29.0,15.0,17.0,33
12005106003,29.0,15.0,17.0,33
12005107001,41.0,21.0,20.0,9
12005107002,41.0,21.0,20.0,9
12005107003,41.0,21.0,20.0,9
12005107004,41.0,21.0,20.0,9
12005107005,41.0,21.0,20.0,9
12005107006,41.0,21.0,20.0,9
12005107007,41.0,21.0,20.0,9
12005108001,31.0,27.0,18.0,12
12005108002,31.0,27.0,18.0,12
12005108003,31.0,27.0,18.0,12
12005108004,31.0,27.0,18.0,12
12005108005,31.0,27.0,18.0,12
12005108006,31.0,27.0,18.0,12
12005108007,31.0,27.0,18.0,12
12005108008,31.0,27.0,18.0,12
12005108009,31.0,27.0,18.0,12
12005108010,31.0,27.0,18.0,12
12005109001,40.0,21.0,20.0,9
12005109002,40.0,21.0,20.0,9
12005109003,40.0,21.0,20.0,9
12005109004,40.0,21.0,20.0,9
12005109005,40.0,21.0,20.0,9
12005110003,20.0,16.0,19.0,33
12006001001,27.0,23.0,21.0,17
12006020001,26.0,24.0,2.0,180
12006024001,23.0,13.0,7.0,115
12006048001,21.0,19.0,2.0,270
12006059001,24.0,18.0,2.0,225
12006062001,38.0,24.0,5.0,54
12006067001,38.0,25.0,6.0,37
12006088001,32.0,21.0,6.0,45
12006114001,30.0,25.0,6.0,37
12006135001,38.0,24.0,5.0,54
12006136001,31.0,20.0,5.0,63
12006143001,31.0,20.0,5.0,63
12006144001,23.0,17.0,1.0,630
12006153001,23.0,13.0,7.0,115
12006155001,31.0,20.0,5.0,63
12006173001,17.0,14.0,9.0,100
12006174001,38.0,26.0,5.0,45
12006179001,38.0,25.0,5.0,45
12010001001,41.0,26.0,31.0,5
12010002001,43.0,24.0,21.0,8
12010003001,40.0,17.0,16.0,14
12010004001,40.0,18.0,16.0,14
12010006001,17.0,11.0,8.0,146
12010008001,40.0,18.0,16.0,14
12010009001,43.0,28.0,26.0,5
12010010001,38.0,23.0,31.0,7
12010011001,30.0,20.0,24.0,13
12010013001,42.0,36.0,17.0,5
12010015001,19.0,15.0,14.0,61
12010016001,21.0,13.0,20.0,41
12010018001,23.0,14.0,10.0,76
12010019001,43.0,24.0,21.0,8
12010020001,35.0,35.0,19.0,9
12010022001,30.0,28.0,23.0,9
12010023001,27.0,22.0,31.0,10
12010023002,27.0,22.0,31.0,10
12010025001,40.0,17.0,16.0,14
12010026001,35.0,23.0,27.0,9
12010027001,61.0,39.0,25.0,1
12010029001,20.0,14.0,14.0,54
12010030001,30.0,18.0,14.0,25
12010033001,21.0,13.0,20.0,41
12010034001,15.0,11.0,13.0,102
12010035001,40.0,17.0,16.0,14
12010036001,36.0,23.0,25.0,9
12010037001,36.0,23.0,25.0,9
12010039001,22.0,15.0,12.0,60
12010040001,38.0,30.0,23.0,7
12010041001,33.0,18.0,17.0,21
12010042001,18.0,33.0,17.0,21
12010044001,22.0,15.0,20.0,36
12010049001,31.0,22.0,20.0,13
12010051001,31.0,22.0,20.0,13
12010052001,38.0,31.0,13.0,13
12010053001,25.0,14.0,10.0,58
12010054001,46.0,29.0,20.0,6
12010055001,15.0,11.0,13.0,102
12010056001,48.0,32.0,19.0,7
12010058001,39.0,34.0,13.0,13
12010059001,39.0,31.0,25.0,7
12010060001,43.0,26.0,20.0,6
12010062001,39.0,34.0,13.0,13
12010065001,15.0,11.0,13.0,102
12010067001,15.0,11.0,13.0,102
12010068001,15.0,11.0,13.0,102
12010069001,28.0,24.0,20.0,18
12010070001,34.0,19.0,13.0,24
12010071001,43.0,22.0,24.0,8
12010072001,23.0,14.0,10.0,76
12010074001,35.0,23.0,27.0,9
12010077001,15.0,11.0,13.0,102
12010079001,15.0,11.0,13.0,102
12010080001,36.0,23.0,25.0,9
12010081001,23.0,14.0,10.0,76
12010082001,44.0,34.0,18.0,5
12010084001,15.0,11.0,13.0,102
12010085001,40.0,17.0,16.0,14
12010087001,21.0,15.0,11.0,65
12010090001,40.0,17.0,16.0,14
12010095001,40.0,18.0,16.0,14
12010096001,40.0,18.0,16.0,14
12010097001,19.0,18.0,11.0,65
12010098001,10.0,6.0,15.0,247
12010102001,10.0,6.0,15.0,247
12010103001,39.0,24.0,15.0,18
12010105001,30.0,19.0,18.0,17
12010106001,30.0,19.0,18.0,17
12010107001,31.0,19.0,18.0,17
12010110001,27.0,26.0,23.0,13
12010113001,39.0,24.0,20.0,13
12010116001,34.0,19.0,13.0,24
12010118001,42.0,26.0,20.0,6
12010119001,36.0,26.0,22.0,10
12010120001,29.0,18.0,16.0,28
12010121001,43.0,34.0,14.0,6
12010122001,36.0,26.0,22.0,10
12010123001,30.0,21.0,21.0,12
12010124001,30.0,21.0,21.0,12
12010126001,17.0,9.0,7.0,205
12010135001,28.0,22.0,18.0,20
12010137001,43.0,22.0,24.0,8
12010140001,24.0,14.0,17.0,35
12010144001,42.0,29.0,26.0,5
12010145001,39.0,31.0,24.0,7
12010147001,35.0,23.0,12.0,22
12010148001,35.0,23.0,12.0,22
12010149001,35.0,23.0,12.0,22
12010151001,26.0,17.0,18.0,26
12010153001,26.0,17.0,18.0,26
12010154001,17.0,9.0,7.0,205
12010156001,38.0,14.0,11.0,40
12010161001,21.0,20.0,20.0,27
12010163001,38.0,15.0,19.0,21
12010170001,36.0,35.0,18.0,10
12010171001,46.0,32.0,24.0,5
12010172001,41.0,36.0,25.0,3
12010173001,32.0,24.0,19.0,14
12010175001,38.0,14.0,11.0,40
12010176001,38.0,14.0,11.0,40
12010178001,32.0,25.0,25.0,9
12010180001,23.0,16.0,21.0,30
12010182001,14.0,11.0,18.0,81
12010185001,33.0,26.0,22.0,10
12010190001,26.0,17.0,18.0,26
12010192001,30.0,20.0,16.0,19
12010193001,39.0,34.0,17.0,10
12010194001,21.0,15.0,11.0,65
12010196001,28.0,22.0,18.0,20
12010198001,39.0,23.0,20.0,13
12010200001,35.0,21.0,13.0,20
12010201001,40.0,17.0,20.0,10
12010202001,35.0,21.0,13.0,20
12010203001,10.0,6.0,15.0,247
12010206001,39.0,20.0,20.0,15
12010207001,49.0,20.0,32.0,6
12010208001,15.0,10.0,12.0,126
12010209001,44.0,19.0,21.0,9
12010213001,39.0,31.0,24.0,7
12010214001,46.0,34.0,25.0,3
12010215001,19.0,17.0,25.0,26
12010218001,35.0,22.0,12.0,22
12010221001,21.0,15.0,11.0,65
12010227001,35.0,30.0,24.0,7
12010228001,35.0,30.0,24.0,7
12010229001,34.0,20.0,21.0,13
12010234001,39.0,23.0,32.0,7
12010235001,27.0,16.0,16.0,33
12010236001,19.0,16.0,11.0,73
12010238001,27.0,16.0,16.0,33
12010241001,22.0,15.0,12.0,60
12010243001,39.0,31.0,24.0,7
12010249001,24.0,14.0,18.0,32
12010251001,15.0,12.0,13.0,93
12010254001,41.0,26.0,32.0,5
12010255001,24.0,14.0,18.0,32
12010261001,24.0,14.0,15.0,38
12010262001,30.0,19.0,15.0,21
12010263001,48.0,32.0,22.0,6
12010275001,29.0,18.0,18.0,25
12010279001,19.0,13.0,12.0,82
12010280001,22.0,15.0,20.0,36
12010281001,22.0,15.0,20.0,36
12010325001,35.0,27.0,14.0,16
12010897001,25.0,14.0,9.0,65
12010999001,40.0,17.0,16.0,14
12011003001,40.0,21.0,24.0,8
12011004001,40.0,19.0,24.0,9
12011005001,39.0,26.0,26.0,8
12011006001,25.0,18.0,23.0,20
12011007001,23.0,21.0,28.0,17
12011009001,24.0,16.0,18.0,28
12011011001,37.0,21.0,25.0,10
12011012001,21.0,16.0,25.0,25
12011014001,35.0,28.0,25.0,9
12011018001,21.0,18.0,26.0,22
12011019001,34.0,26.0,26.0,8
12011022001,35.0,29.0,23.0,7
12011023001,22.0,19.0,19.0,28
12011024001,30.0,20.0,23.0,13
12011025001,29.0,19.0,23.0,18
12011032001,40.0,19.0,24.0,9
12011033001,32.0,32.0,28.0,6
12011034001,47.0,22.0,26.0,6
12011037001,38.0,22.0,25.0,10
12011038001,20.0,18.0,25.0,22
12011039001,34.0,26.0,26.0,8
12011042001,23.0,21.0,28.0,17
12011044001,42.0,23.0,25.0,5
12011045001,38.0,22.0,25.0,10
12011047001,49.0,24.0,26.0,5
12011050001,49.0,24.0,26.0,5
12011051001,43.0,28.0,28.0,4
12011056001,33.0,29.0,27.0,6
12011057001,40.0,19.0,24.0,9
12011058001,50.0,27.0,24.0,5
12011060001,38.0,29.0,27.0,6
12011061001,48.0,24.0,26.0,5
12011062001,42.0,23.0,25.0,5
12011063001,47.0,28.0,21.0,6
12011065001,41.0,26.0,27.0,5
12011066001,32.0,23.0,22.0,12
12011067001,30.0,23.0,25.0,9
12011068001,42.0,28.0,26.0,5
12011069001,38.0,22.0,24.0,12
12011073001,25.0,31.0,24.0,9
12011074001,48.0,28.0,26.0,5
12011075001,42.0,26.0,28.0,5
12011076001,37.0,28.0,31.0,6
12011077001,38.0,23.0,29.0,7
12011079001,40.0,19.0,24.0,9
12011080001,51.0,26.0,24.0,5
12011081001,28.0,16.0,21.0,25
12011084001,47.0,22.0,27.0,6
12011085001,42.0,28.0,26.0,5
12011086001,21.0,15.0,18.0,39
12011088001,32.0,23.0,22.0,12
12011089001,32.0,27.0,21.0,10
12011092001,33.0,22.0,25.0,10
12011093001,35.0,33.0,27.0,6
12011094001,46.0,23.0,26.0,5
12011096001,48.0,28.0,26.0,5
12011097001,30.0,23.0,25.0,9
12011098001,40.0,31.0,26.0,5
12011100001,39.0,26.0,27.0,8
