item_code,(箱)長cm,(箱)寬cm,(箱)高cm,max_comp_number
10020102001,44.0,29.0,19.0,7
10020107001,40.0,26.0,10.0,13
10020108001,40.0,26.0,10.0,13
10021001001,41.0,28.0,10.0,13
10021003001,41.0,24.0,13.0,13
10021005001,41.0,27.0,13.0,10
10021006001,42.0,28.0,24.0,5
10021007001,38.0,29.0,32.0,6
10021008001,35.0,20.0,11.0,28
10021009001,38.0,28.0,31.0,6
10021010001,42.0,28.0,24.0,5
10021012001,41.0,27.0,13.0,10
10021015001,43.0,29.0,24.0,5
10021016001,43.0,29.0,24.0,5
10021017001,40.0,28.0,23.0,5
10021018001,33.0,24.0,22.0,12
10021019001,35.0,20.0,11.0,28
10021021001,38.0,26.0,19.0,11
10021022001,42.0,19.0,24.0,9
10021023001,43.0,29.0,23.0,5
10021025001,35.0,20.0,13.0,24
10021026001,39.0,28.0,32.0,6
10021027001,40.0,27.0,10.0,13
10021034001,38.0,22.0,21.0,12
10021035001,34.0,20.0,11.0,28
10021040001,37.0,27.0,29.0,6
10021041001,42.0,28.0,10.0,13
10021042001,41.0,28.0,23.0,5
10022002001,33.0,22.0,15.0,18
10022003001,36.0,24.0,17.0,15
10022004001,33.0,22.0,15.0,18
10022006001,32.0,22.0,14.0,19
10022007001,35.0,23.0,15.0,18
10022008001,32.0,22.0,16.0,16
10022009001,34.0,23.0,16.0,16
10022010001,38.0,29.0,14.0,12
10022011001,33.0,22.0,14.0,19
10022012001,33.0,22.0,16.0,16
10022013001,31.0,21.0,14.0,19
10022014001,33.0,22.0,14.0,19
10022015001,41.0,28.0,25.0,5
10022016001,33.0,23.0,15.0,18
10022020001,36.0,24.0,17.0,15
10022024001,31.0,20.0,16.0,19
10022030001,33.0,22.0,14.0,19
10022908001,24.0,36.0,17.0,15
10022910001,36.0,24.0,17.0,15
10022914001,33.0,22.0,14.0,19
10022915001,33.0,22.0,14.0,19
10022916001,32.0,22.0,14.0,19
10022918001,32.0,22.0,14.0,19
10023002001,56.0,32.0,20.0,6
10023003001,31.0,21.0,22.0,12
10023004001,35.0,24.0,17.0,15
10023005001,47.0,37.0,22.0,4
10023007001,29.0,42.0,17.0,7
10023008001,48.0,33.0,21.0,4
10023011001,27.0,20.0,20.0,20
10023017001,43.0,36.0,20.0,4
10023020001,60.0,37.0,29.0,1
10023023001,38.0,30.0,27.0,6
10023025001,38.0,31.0,20.0,9
10023026001,37.0,34.0,20.0,9
10023027001,56.0,33.0,20.0,4
10023029001,56.0,33.0,20.0,4
10023031001,36.0,25.0,25.0,9
10023032001,47.0,35.0,20.0,4
10023035001,41.0,28.0,24.0,5
10023037001,41.0,28.0,24.0,5
10023038001,40.0,27.0,24.0,5
10023041001,39.0,26.0,19.0,11
10023043001,49.0,37.0,24.0,3
10023044001,56.0,32.0,20.0,6
10023049001,37.0,32.0,20.0,9
10023051001,69.0,29.0,20.0,2
10023054001,54.0,25.0,13.0,10
10023055001,42.0,39.0,19.0,4
10023057001,30.0,22.0,24.0,12
10023058001,42.0,28.0,20.0,6
10023061001,36.0,18.0,18.0,20
10023063001,37.0,33.0,21.0,8
10023064001,53.0,25.0,12.0,11
10023066001,48.0,33.0,20.0,4
10023068001,42.0,37.0,19.0,4
10023073001,31.0,21.0,16.0,16
10023075001,41.0,31.0,15.0,9
10023078001,39.0,29.0,20.0,9
10023079001,41.0,36.0,22.0,4
10023080001,36.0,18.0,18.0,20
10023083001,35.0,24.0,25.0,9
10023087001,36.0,25.0,17.0,13
10023093001,37.0,36.0,22.0,8
10023100001,47.0,31.0,15.0,9
10023102001,48.0,36.0,22.0,4
10023103001,62.0,38.0,25.0,1
10023104001,38.0,32.0,28.0,6
10023106001,35.0,24.0,22.0,12
10023107001,36.0,25.0,27.0,9
10023110001,53.0,25.0,12.0,11
10023111001,48.0,32.0,15.0,9
10023114001,60.0,38.0,30.0,1
10023124001,46.0,37.0,22.0,4
10023892001,57.0,32.0,20.0,6
10023991001,33.0,31.0,25.0,7
10023998001,46.0,30.0,16.0,8
10023999001,46.0,34.0,28.0,3
10024001001,40.0,27.0,13.0,10
10024003001,38.0,29.0,32.0,6
10024004001,33.0,16.0,10.0,40
10024005001,40.0,27.0,13.0,10
10024006001,40.0,27.0,13.0,10
10024007001,33.0,16.0,10.0,40
10024010001,41.0,27.0,12.0,11
10024011001,41.0,29.0,21.0,6
10024014001,39.0,26.0,24.0,9
10024898001,29.0,22.0,24.0,16
10024900001,33.0,27.0,14.0,16
10024901001,41.0,27.0,24.0,5
10030001001,38.0,28.0,32.0,6
10030003001,42.0,29.0,24.0,5
10030005001,38.0,28.0,32.0,6
10030007001,38.0,25.0,24.0,9
10030008001,40.0,27.0,19.0,7
10030011001,40.0,27.0,24.0,5
10030012001,35.0,24.0,31.0,7
10030013001,35.0,20.0,11.0,28
10030014001,41.0,27.0,24.0,5
10030015001,41.0,27.0,24.0,5
10030016001,41.0,27.0,23.0,5
10030017001,35.0,26.0,31.0,6
10030018001,38.0,21.0,31.0,8
10030019001,41.0,28.0,24.0,5
10030020001,40.0,22.0,22.0,8
10030021001,43.0,29.0,24.0,5
10030022001,40.0,27.0,23.0,5
10030023001,27.0,20.0,20.0,20
10030030001,35.0,26.0,31.0,6
10030045001,42.0,28.0,23.0,5
10030046001,43.0,28.0,24.0,5
10030048001,38.0,25.0,24.0,9
10030049001,35.0,26.0,31.0,6
10031001001,35.0,20.0,11.0,28
10031003001,37.0,25.0,22.0,10
10031004001,42.0,28.0,24.0,5
10031005001,35.0,20.0,11.0,28
10031006001,41.0,27.0,24.0,5
10031007001,41.0,27.0,24.0,5
10031009001,41.0,28.0,25.0,5
10031011001,35.0,27.0,31.0,6
10031012001,43.0,29.0,24.0,5
10031013001,40.0,20.0,14.0,12
10031015001,41.0,27.0,24.0,5
