item_code;product_name;history_days;lead_time_days;service_level;bootstrap_repetitions;resampling_method;evaluation_status;train_days;test_days;number_of_test_cases;evaluation_reorder_point;evaluation_mean_lead_time_demand;evaluation_safety_stock;achieved_csl;shortage_units;fill_rate;total_actual_lead_time_demand
14632194001;普格麵醬-蘑菇 680g;3;2;0,950000;10000;with_replacement;ok;1,000000;2,000000;1,000000;6,000000;6,000000;0,000000;1,000000;0,000000;1,000000;1,000000
14632215001;普格麵醬-蕃茄羅勒大蒜 680g:普格麵醬-蕃茄.;2;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14632223001;萬家香味醂 450ml:萬家香味醂;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;7,000000;3,467900;3,532100;1,000000;0,000000;1,000000;5,000000
14632295001;健康廚房經典凱薩醬200ml:經典凱薩醬;14;2;0,950000;10000;with_replacement;ok;11,000000;3,000000;2,000000;1,000000;0,183400;0,816600;0,500000;5,000000;0,166667;6,000000
14632352001;金蘭甜麵醬200g:金蘭甜麵醬;15;2;0,950000;10000;with_replacement;ok;12,000000;3,000000;2,000000;4,000000;2,004200;1,995800;1,000000;0,000000;1,000000;2,000000
14632449001;健康廚房無油沾拌淋醬-柚香檸檬:柚香檸檬;14;2;0,950000;10000;with_replacement;ok;11,000000;3,000000;2,000000;1,000000;0,360400;0,639600;0,000000;3,000000;0,400000;5,000000
14632450001;健康廚房無油沾拌淋醬-香蒜洋蔥:香蒜洋蔥;12;2;0,950000;10000;with_replacement;ok;9,000000;3,000000;2,000000;3,000000;0,868800;2,131200;1,000000;0,000000;1,000000;1,000000
14632482001;萬泰干貝醬-小辣450g;18;2;0,950000;10000;with_replacement;ok;14,000000;4,000000;3,000000;2,000000;0,715200;1,284800;1,000000;0,000000;1,000000;3,000000
14633001001;愛之味素食沙茶醬120g:愛之味素沙茶醬;20;2;0,950000;10000;with_replacement;ok;16,000000;4,000000;3,000000;18,000000;7,887900;10,112100;1,000000;0,000000;1,000000;9,000000
14633039001;牛頭牌沙茶醬(小) 127g;14;2;0,950000;10000;with_replacement;ok;11,000000;3,000000;2,000000;19,000000;8,666800;10,333200;1,000000;0,000000;1,000000;21,000000
14633043001;牛頭牌蛤蜊湯塊 11g*6:牛頭牌蛤蜊湯塊;2;2;0,950000;10000;with_replacement;not_enough_history_for_holdout;;;;;;;;;;
14633045001;牛頭牌雞湯塊 11g*6:牛頭牌雞湯塊;16;2;0,950000;10000;with_replacement;ok;12,000000;4,000000;3,000000;10,000000;3,340500;6,659500;1,000000;0,000000;1,000000;5,000000
14633046001;愛之味漢方麻辣醬165g;10;2;0,950000;10000;with_replacement;ok;8,000000;2,000000;1,000000;2,000000;0,971200;1,028800;0,000000;1,000000;0,666667;3,000000
14633108001;石二鍋沙茶醬240g;19;2;0,950000;10000;with_replacement;ok;15,000000;4,000000;3,000000;2,000000;0,657100;1,342900;1,000000;0,000000;1,000000;1,000000
14633896001;牛頭牌麻辣沙茶醬 250g;13;2;0,950000;10000;with_replacement;ok;10,000000;3,000000;2,000000;12,000000;4,205500;7,794500;1,000000;0,000000;1,000000;12,000000
