item_id,item_code,item_name,box_length,box_width,box_height,box_volume,box_weight,number_of_item_in_a_box,item_volume,item_unit,item_quantity_order_unique,item_quantity_order_unique_frequency,item_initial_quantity_inventory,total_demand,daily_mean,daily_std,total_order_freq,daily_freq_mean,cv2,adi,composite_metric,item_class,item_class_alphabetical,item_initial_inventory
3521,14204198001,良澔酥爆海苔-唐辛子口味,40.0,27.0,21.0,22680.0,1.83,20,1134.0,PCS,"[1, 2, 4]","[5, 1, 1]",3,11,1.5714285714285714,1.133893419027682,7,1.0,0.5206611570247935,3.0,1.5714285714285714,4,CZ,5
3522,14210005001,家樂福全果粒蔓越莓果乾,35.0,27.0,13.0,12285.0,2.79,12,1023.8,PCS,"[1, 2, 3]","[22, 1, 1]",2,27,1.173913043478261,0.491026190103531,24,1.0434782608695652,0.1749594712557675,0.9130434782608696,1.224952741020794,4,CX,3
3523,14210009001,三葉超大葡萄乾,39.0,20.0,11.0,8580.0,2.69,12,715.0,PCS,"[1, 2]","[9, 3]",2,15,1.25,0.4522670168666454,12,1.0,0.1309090909090909,1.75,1.25,4,CY,3
3524,14210010001,聖美多葡萄乾,29.0,22.0,16.0,10208.0,5.34,24,425.3,PCS,"[1, 2, 3]","[13, 4, 1]",3,24,1.411764705882353,0.6183469424008423,18,1.0588235294117647,0.1918402777777777,1.2352941176470589,1.494809688581315,4,CX,4
3525,14210015001,加州三葉葡萄乾250g,38.0,33.0,15.0,18810.0,6.3,24,783.8,PCS,"[1, 2]","[7, 1]",2,9,1.125,0.3535533905932738,8,1.0,0.0987654320987654,2.625,1.125,4,CY,3
3526,14210017001,7D菲律賓宿霧芒果乾,34.0,24.0,13.0,10608.0,2.696,25,424.3,PCS,"[1, 2, 3, 6]","[10, 1, 1, 1]",4,21,1.6153846153846154,1.4455945454184551,13,1.0,0.8008314436885866,1.6153846153846154,1.6153846153846154,4,CZ,6
3527,14210018001,家樂福愛文芒果乾,35.0,27.0,13.0,12285.0,1.74,12,1023.8,PCS,"[1, 11]","[6, 1]",7,17,2.4285714285714284,3.779644730092272,7,1.0,2.422145328719724,3.0,2.4285714285714284,1,BZ,13
3528,14210019001,台灣愛文芒果乾,32.0,28.0,16.0,14336.0,2.15,12,1194.7,PCS,"[1, 2]","[3, 1]",2,5,1.25,0.5,4,1.0,0.16,5.25,1.25,4,CY,3
3529,14210021001,太陽牌去籽加州梅,48.0,37.0,12.0,21312.0,4.892,12,1776.0,PCS,"[1, 3]","[9, 1]",2,12,1.2,0.6324555320336759,10,1.0,0.2777777777777778,2.1,1.2,4,CY,3
3530,14210024001,7D菲律賓宿霧芒果乾,36.0,25.0,27.0,24300.0,5.622,25,972.0,PCS,"[1, 2, 3, 4, 5]","[10, 5, 1, 1, 2]",4,37,1.947368421052632,1.3529262199858298,19,1.0,0.4826718610502393,1.105263157894737,1.947368421052632,3,BX,6
3531,14210025001,手摘果物- 芒果乾,28.0,19.0,16.0,8512.0,1.36,15,567.5,PCS,"[1, 2, 3]","[4, 1, 1]",3,9,1.5,0.8366600265340756,6,1.0,0.3111111111111111,3.5,1.5,4,CY,4
3532,14210026001,手摘果物- 芭樂乾,28.0,19.0,16.0,8512.0,1.32,15,567.5,PCS,"[1, 2]","[7, 3]",2,13,1.3,0.4830458915396479,10,1.0,0.1380670611439841,2.1,1.3,4,CY,3
3533,14210027001,家樂福甘草檸檬果乾,37.0,22.0,19.0,15466.0,1.35,20,773.3,PCS,"[1, 2, 4]","[6, 2, 1]",3,14,1.5555555555555556,1.0137937550497034,9,1.0,0.4247448979591837,2.333333333333333,1.5555555555555556,4,CY,5
3534,14210029001,美麗果蔓越莓乾(全果粒),32.0,27.0,15.0,12960.0,2.91,12,1080.0,PCS,"[1, 2]","[6, 1]",2,8,1.1428571428571428,0.3779644730092273,7,1.0,0.109375,3.0,1.1428571428571428,4,CY,3
3535,14210031001,家樂福芒果乾145g,35.0,27.0,13.0,12285.0,1.74,12,1023.8,PCS,[1],[6],1,6,1.0,0.0,6,1.0,0.0,3.5,1.0,4,CY,1
3536,14210034001,康健生機金牌黑棗(去籽),31.0,27.0,15.0,12555.0,4.5,12,1046.3,PCS,"[1, 2, 3, 4, 8]","[12, 2, 1, 2, 1]",5,35,2.333333333333333,3.866830866792722,18,1.2,2.7463556851311943,1.4,2.8000000000000003,1,BZ,13
3537,14210039001,台灣美食- 彰化大村巨峰葡萄乾,47.0,38.0,19.0,33934.0,11.0,20,1696.7,PCS,"[1, 2, 6]","[7, 1, 1]",4,15,1.875,2.100170061141308,9,1.125,1.2546031746031745,2.625,2.109375,1,BZ,8
3538,14210045001,聖美多葡萄乾500G,43.0,32.0,13.0,17888.0,6.73,12,1490.7,PCS,[1],[4],1,4,1.0,0.0,4,1.0,0.0,5.25,1.0,4,CY,1
3539,14210046001,森之果物嚴選特大葡萄乾蔓越莓,41.0,29.0,14.0,16646.0,4.78,12,1387.2,PCS,"[1, 2, 3]","[16, 2, 1]",2,23,1.2105263157894737,0.5353033790313108,19,1.0,0.1955471539592522,1.105263157894737,1.2105263157894737,4,CX,3
3540,14210047001,森之果物嚴選蜜棗乾,40.0,29.0,13.0,15080.0,4.85,12,1256.7,PCS,"[1, 3]","[2, 1]",3,5,1.6666666666666667,1.1547005383792517,3,1.0,0.4800000000000001,7.0,1.6666666666666667,4,CY,5
3541,14210048001,森之果物嚴選芭樂乾,41.0,29.0,14.0,16646.0,3.8,12,1387.2,PCS,"[1, 2, 3, 4, 5, 6]","[5, 3, 1, 1, 1, 2]",6,35,3.5,4.503085362035432,13,1.3,1.6553287981859413,2.1,4.55,1,BZ,16
3542,14210050001,家樂福鳳梨果乾,36.0,21.0,19.0,14364.0,1.13,20,718.2,PCS,"[1, 2]","[7, 1]",2,9,1.125,0.3535533905932738,8,1.0,0.0987654320987654,2.625,1.125,4,CY,3
3543,14210051001,果漾天然鳳梨乾,34.0,26.0,18.0,15912.0,3.1,20,795.6,PCS,"[2, 10]","[27, 1]",4,64,2.3703703703703702,1.5725566676385538,28,1.037037037037037,0.4401292067307692,0.7777777777777778,2.4581618655692727,3,BX,7
3544,14210056001,家樂福芒果乾,36.0,21.0,19.0,14364.0,1.17,20,718.2,PCS,"[1, 2, 9, 12]","[10, 2, 1, 1]",7,35,2.5,3.458545714825592,14,1.0,1.913846153846154,1.5,2.5,1,BZ,12
3545,14210058001,家樂福番茄乾,36.0,21.0,19.0,14364.0,1.17,20,718.2,PCS,"[1, 2, 3]","[5, 2, 2]",3,15,1.6666666666666667,0.8660254037844386,9,1.0,0.2699999999999999,2.333333333333333,1.6666666666666667,4,CY,4
3546,14210061001,家樂福紅心芭樂果乾,35.0,27.0,13.0,12285.0,1.74,12,1023.8,PCS,"[1, 4, 5]","[2, 1, 1]",6,11,3.6666666666666665,2.309401076758504,4,1.3333333333333333,0.3966942148760332,7.0,4.888888888888888,1,BY,10
